circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
=NeutraL=,"桜華幻奏-弐符-","ティアオイエツォン(withered leaf)",,,,,1,
=NeutraL=,"桜華幻奏-弐符-","広有射怪鳥事　～ Till When",,,,,2,
=NeutraL=,"桜華幻奏-弐符-","ボーダーオブライフ",,,,,3,
=NeutraL=,"桜華幻奏-弐符-","少女幻葬　～ Necro-Fantasy",,,,,4,
=NeutraL=,"桜華幻奏-弐符-","アルティメットトゥルース",,,,,5,
=NeutraL=,"桜華幻奏-弐符-","遠野幻想物語",,,,,6,
=NeutraL=,"桜華幻奏-弐符-","無何有の郷　～ Deep Mountain",,,,,7,
=NeutraL=,"桜華幻奏-弐符-","幽雅に咲かせ、墨染の桜　～ Border of Life",,,,,8,
=NeutraL=,"桜華幻奏-弐符-","少女幻葬　～ Necro-Fantasy",,,,,9,
=NeutraL=,"桜華幻奏-弐符-","幽霊楽団　～ Phantom Ensemble",,,,,10,
=NeutraL=,"桜華幻奏-弐符-","幽雅に咲かせ、墨染の桜　～ Border of Life",,,,,11,
=NeutraL=,"桜華幻奏-弐符-","無何有の郷　～ Deep Mountain",,,,,12,
=NeutraL=,"桜華幻奏-弐符-","人形裁判　～ 人の形弄びし少女",,,,,13,
=NeutraL=,"桜華幻奏-弐符-","東方妖々夢　～ Ancient Temple",,,,,14,
=NeutraL=,"桜華幻奏-弐符-","幽雅に咲かせ、墨染の桜　～ Border of Life",,,,,15,
=NeutraL=,"桜華幻奏-弐符-","ネクロファンタジア",,,,,16,
=NeutraL=,"桜華幻奏-弐符-","さくらさくら　～ Japanize Dream...",,,,,17,
=NeutraL=,"桜華幻奏-弐符-","妖々夢　～ Snow or Cherry Petal",,,,,18,
