circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
A-One,"TOHO EUROBEAT INST BEST","Don't Break Me Down(Instrumental)","",,,,1,
A-One,"TOHO EUROBEAT INST BEST","PLAY MY GAME(Lasy's)(Instrumental)","",,,,2,
A-One,"TOHO EUROBEAT INST BEST","ƒ[ƒ“ƒ}ƒC—öŽžŒv(T.E.B Summer Mix)(Instrumental)","",,,,3,
A-One,"TOHO EUROBEAT INST BEST","flower tartan(Instrumental)","",,,,4,
A-One,"TOHO EUROBEAT INST BEST","ŒŽ‚Ì›Z–ò(Instrumental)","",,,,5,
A-One,"TOHO EUROBEAT INST BEST","BURNIN' BLOOD(Instrumental)","",,,,6,
A-One,"TOHO EUROBEAT INST BEST","SPEEDY NIGHT(Queen Side)(Instrumental)","",,,,7,
A-One,"TOHO EUROBEAT INST BEST","No Routine(Instrumental)","",,,,8,
A-One,"TOHO EUROBEAT INST BEST","Cage to Heart(Instrumental)","",,,,9,
A-One,"TOHO EUROBEAT INST BEST","Scream out!(Instrumental)","",,,,10,
