circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
ALiCE'S EMOTiON,FORLANE|REI,Last Time,野宮あゆみ,REDALiCE,野宮あゆみ,少女綺想曲　～ Dream Battle:春色小径　～ Colorful Path,1,博麗神社例大祭9
ALiCE'S EMOTiON,FORLANE|REI,小傘の生存グラビア戦略,ななひら,azuma,azuma,万年置き傘にご注意を:素敵な墓場で暮しましょ,2,博麗神社例大祭9
ALiCE'S EMOTiON,FORLANE|REI,Stray Twins,リズナ:坂上なち,t+pazolite,t+pazolite,少女さとり　～ 3rd eye:死体旅行　～ Be of good cheer!,3,博麗神社例大祭9
ALiCE'S EMOTiON,FORLANE|REI,Cross World,吉河順央,REDALiCE,野宮あゆみ,トロヤ群の密林,4,博麗神社例大祭9
ALiCE'S EMOTiON,FORLANE|REI,Old Blood,,REDALiCE,,懐かしき東方の血　～ Old World,5,博麗神社例大祭9
ALiCE'S EMOTiON,FORLANE|REI,Gods Garden,3L,源屋,源屋,神々が恋した幻想郷,6,博麗神社例大祭9
ALiCE'S EMOTiON,FORLANE|REI,Snow Lover,古川未鈴,REDALiCE,野宮あゆみ,おてんば恋娘,7,博麗神社例大祭9
ALiCE'S EMOTiON,FORLANE|REI,bitty prince,,t+pazolite,,小さな小さな賢将,8,博麗神社例大祭9
ALiCE'S EMOTiON,FORLANE|REI,Shine Like a Star,yukacco,DJ Genki,yukacco,ハルトマンの妖怪少女,9,博麗神社例大祭9
ALiCE'S EMOTiON,FORLANE|REI,Little Bug,mican*,REDALiCE,野宮あゆみ,蠢々秋月　～ Mooned Insect,10,博麗神社例大祭9
ALiCE'S EMOTiON,FORLANE|REI,Last Time(t+pazolite Remix),野宮あゆみ,t+pazolite,野宮あゆみ,少女綺想曲　～ Dream Battle:春色小径　～ Colorful Path,11,博麗神社例大祭9
