circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
ALiCE'S EMOTiON,Evolution RED,追憶サマーナイト(ELEMENTAS Remix),坂上なち,ELEMENTAS,野宮あゆみ,砕月,1,コミックマーケット83
ALiCE'S EMOTiON,Evolution RED,I will never forget you(Nhato Remix),野宮あゆみ,Nhato,野宮あゆみ,竹取飛翔　～ Lunatic Princess,2,コミックマーケット83
ALiCE'S EMOTiON,Evolution RED,Singing in the rain(源屋 Remix),荒牧陽子,源屋,野宮あゆみ,厄神様の通り道　～ Dark Road,3,コミックマーケット83
ALiCE'S EMOTiON,Evolution RED,望まれぬ夜明け(fu_mou Remix),リズナ,fu_mou,t+pazolite,明治十七年の上海アリス,4,コミックマーケット83
ALiCE'S EMOTiON,Evolution RED,blooming(CYTOKINE Remix),坂上なち,Linjin,野宮あゆみ,死霊の夜桜,5,コミックマーケット83
ALiCE'S EMOTiON,Evolution RED,White Pieces(DJ Genki Remix),吉河順央,DJ Genki,野宮あゆみ,ラクトガール　～ 少女密室,6,コミックマーケット83
ALiCE'S EMOTiON,Evolution RED,Break the Night(aran Remix),野宮あゆみ,aran,野宮あゆみ,U.N.オーエンは彼女なのか？,7,コミックマーケット83
ALiCE'S EMOTiON,Evolution RED,CROSS WORLD(Ryunosuke Kudo Remix),吉河順央,Ryunosuke Kudo,野宮あゆみ,トロヤ群の密林,8,コミックマーケット83
ALiCE'S EMOTiON,Evolution RED,Hungry Girl(RoughSketch Remix),野宮あゆみ,RoughSketch,野宮あゆみ,リジッドパラダイス,9,コミックマーケット83
ALiCE'S EMOTiON,Evolution RED,Mami Mami Zone(t+pazolite Remix),野宮あゆみ,t+pazolite,野宮あゆみ,佐渡の二ッ岩,10,コミックマーケット83
