circle,album,title,vocalist,arranger,lyricist,original_songs,track_number,event
Amateras Records,Unrequited Hearts the instrumental,MinaMo,,きりん,,キャプテン・ムラサ,1,博麗神社例大祭12
Amateras Records,Unrequited Hearts the instrumental,Missing Moon,,MARIN,,ヴォヤージュ1969,2,博麗神社例大祭12
Amateras Records,Unrequited Hearts the instrumental,Lonly Ranunculus,,Tracy,,ハルトマンの妖怪少女,3,博麗神社例大祭12
Amateras Records,Unrequited Hearts the instrumental,Space Busters,,cYsmix,,平安のエイリアン,4,博麗神社例大祭12
Amateras Records,Unrequited Hearts the instrumental,Last Lullaby,,Tracy,,死体旅行　～ Be of good cheer!,5,博麗神社例大祭12
Amateras Records,Unrequited Hearts the instrumental,Bad End,,溝口ゆうま,,Bad Apple!!,6,博麗神社例大祭12
Amateras Records,Unrequited Hearts the instrumental,ラストフレーズ,,MARIN,,夜雀の歌声　～ Night Bird,7,博麗神社例大祭12
Amateras Records,Unrequited Hearts the instrumental,Flying!,,Tracy,,柳の下のデュラハン,8,博麗神社例大祭12
Amateras Records,Unrequited Hearts the instrumental,ヒトリキリノセカイ,,MUZIK SERVANT,,亡失のエモーション,9,博麗神社例大祭12
Amateras Records,Unrequited Hearts the instrumental,Lies in the mirror,,隣人,,プレインエイジア,10,博麗神社例大祭12
