circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Arctic,"東方疾走響-East scamper sound-","Blinding Destruction","",,,,1,
Arctic,"東方疾走響-East scamper sound-","疾走夢中の好奇心","",,,,2,
Arctic,"東方疾走響-East scamper sound-","Syan High Speed","",,,,3,
Arctic,"東方疾走響-East scamper sound-","Crazy Cinderella","",,,,4,
Arctic,"東方疾走響-East scamper sound-","Spring Vacation","",,,,5,
Arctic,"東方疾走響-East scamper sound-","High Speed Cucumber","",,,,6,
Arctic,"東方疾走響-East scamper sound-","稲田姫様が疾走するから","",,,,7,
Arctic,"東方疾走響-East scamper sound-","Lunatic Sprinter","",,,,8,
Arctic,"東方疾走響-East scamper sound-","ぺったんファイヤー☆","",,,,9,
Arctic,"東方疾走響-East scamper sound-","Destiny Runner","",,,,10,
Arctic,"東方疾走響-East scamper sound-","Eternal Fantasy","",,,,11,
