circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Assaultdoor,"幻想羅針盤","恋色マスタースパーク/恋色マジック","",,,,1,
Assaultdoor,"幻想羅針盤","ブクレシュティの人形師/人形裁判","",,,,2,
Assaultdoor,"幻想羅針盤","風神少女(Long Version)","",,,,3,
Assaultdoor,"幻想羅針盤","霊知の太陽信仰　～ Nuclear Fusion","",,,,4,
Assaultdoor,"幻想羅針盤","魔女達の舞踏会　～ Magus Night","",,,,5,
Assaultdoor,"幻想羅針盤","夢は時空を越えて","",,,,6,
Assaultdoor,"幻想羅針盤","Contrast Girls　～ 妖怪の山","",,,,7,
Assaultdoor,"幻想羅針盤","Demystify Feast(Arrange)","",,,,8,
Assaultdoor,"幻想羅針盤","不思議の国のアリス","",,,,9,
Assaultdoor,"幻想羅針盤","聖徳伝説　～ True Administrator","",,,,10,
Assaultdoor,"幻想羅針盤","ハーセルヴズ　～ 彼女自身の考察","",,,,11,
