circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
As/Hi,"Fantaisie Orientale DISC-1","Lenient Judge",,,,,1,
As/Hi,"Fantaisie Orientale DISC-1","whirled up","Atori",,,,2,
As/Hi,"Fantaisie Orientale DISC-1","U.N.オーエンは彼女なのか?(けいおん!風)","ちぃ",,,,3,
As/Hi,"Fantaisie Orientale DISC-1","Curiosheart←Seaker　～ 少女さとり",,,,,4,
As/Hi,"Fantaisie Orientale DISC-1","Maximum Power",,,,,5,
As/Hi,"Fantaisie Orientale DISC-1","Autumn Waterfall-Fall of Fall- Type:(ﾟ⊿ﾟ)",,,,,6,
As/Hi,"Fantaisie Orientale DISC-1","境界の宴",,,,,7,
As/Hi,"Fantaisie Orientale DISC-1","亡き王女の為の演武曲",,,,,8,
As/Hi,"Fantaisie Orientale DISC-1","氷精伝説⑨　～ Mis×Cir-The Origin-",,,,,9,
As/Hi,"Fantaisie Orientale DISC-1","ネクロマチックファンタジー",,,,,10,
As/Hi,"Fantaisie Orientale DISC-1","only end～厭離穢土 欣求浄土～","筅氷雨",,,,11,
As/Hi,"Fantaisie Orientale DISC-1","Save This Land","SHO",,,,12,
As/Hi,"Fantaisie Orientale DISC-1","Black & White Wings","Atori、SHO",,,,13,
As/Hi,"Fantaisie Orientale DISC-2","THE ビッグヨーム","YS",,,,1,
As/Hi,"Fantaisie Orientale DISC-2","魂の旅",,,,,2,
As/Hi,"Fantaisie Orientale DISC-2","赤い紅い黒い猫","藤宮遊鳥",,,,3,
As/Hi,"Fantaisie Orientale DISC-2","Iku`s memory_ある日常における出来事",,,,,4,
As/Hi,"Fantaisie Orientale DISC-2","FEEL A INSANITY(BE FANCY OR BE FEAR)",,,,,5,
As/Hi,"Fantaisie Orientale DISC-2","交錯モノクロ時間","藤宮遊鳥",,,,6,
As/Hi,"Fantaisie Orientale DISC-2","月人幻想",,,,,7,
As/Hi,"Fantaisie Orientale DISC-2","Wind's memory_地子、天に昇る",,,,,8,
As/Hi,"Fantaisie Orientale DISC-2","東方萃夢想",,,,,9,
As/Hi,"Fantaisie Orientale DISC-2","Lullaby of the Forgotten Hell","SHO",,,,10,
As/Hi,"Fantaisie Orientale DISC-2","пpиpoдa",,,,,11,
As/Hi,"Fantaisie Orientale DISC-2","幻想郷ファンタジア",,,,,12,
As/Hi,"Fantaisie Orientale DISC-2","DAYSTAR","Atori",,,,13,
