circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
C-CLAYS,東方雪花～East dawn～,東方妖々夢　～ Ancient Temple,,こたろう,,東方妖々夢　～ Ancient Temple,1,サンシャインクリエイション30
C-CLAYS,東方雪花～East dawn～,花映塚　～ Higan Retour,,こたろう,,花映塚　～ Higan Retour,2,サンシャインクリエイション30
C-CLAYS,東方雪花～East dawn～,シンデレラゲージ　～ Kagome-Kagome,,こたろう,,シンデレラケージ　～ Kagome-Kagome,3,サンシャインクリエイション30
C-CLAYS,東方雪花～East dawn～,彼岸帰航　～ Riverside View,,こたろう,,彼岸帰航　～ Riverside View,4,サンシャインクリエイション30
C-CLAYS,東方雪花～East dawn～,明治十七年の上海アリス,,こたろう,,明治十七年の上海アリス,5,サンシャインクリエイション30
C-CLAYS,東方雪花～East dawn～,華胥の夢,,こたろう,,華胥の夢,6,サンシャインクリエイション30
C-CLAYS,東方雪花～East dawn～,東の国の眠らない夜,,こたろう,,東の国の眠らない夜,7,サンシャインクリエイション30
C-CLAYS,東方雪花～East dawn～,ヴォヤージュ1969,,こたろう,,ヴォヤージュ1969,8,サンシャインクリエイション30
C-CLAYS,東方雪花～East dawn～,幽玄の槭樹　～ Eternal Dream,,こたろう,,Eternal Dream　～ 幽玄の槭樹,9,サンシャインクリエイション30
C-CLAYS,東方雪花～East dawn～,おてんば恋娘の冒険,,こたろう,,おてんば恋娘の冒険,10,サンシャインクリエイション30
