circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
C.H.S,"neetmania","Phanta!",,,,,1,
C.H.S,"neetmania","ロサ・ダイアル",,,,,2,
C.H.S,"neetmania","kettlemate",,,,,3,
C.H.S,"neetmania","special number ⑨ !!11",,,,,4,
C.H.S,"neetmania","KagKag-ver.2007-",,,,,5,
C.H.S,"neetmania","墨染桜",,,,,6,
C.H.S,"neetmania","月まで届け、顎のシャクレ",,,,,7,
C.H.S,"neetmania","TenQ",,,,,8,
C.H.S,"neetmania","GNOSIS",,,,,9,
C.H.S,"neetmania","Unlimited Spark!-Stardust Mix-","",,,,10,
C.H.S,"neetmania","Ancient and modern",,,,,11,
C.H.S,"neetmania","Demistified Faust",,,,,12,
C.H.S,"neetmania","SAIBAN WONDERLAND",,,,,13,
