circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
C.H.S,"Unconnected","Unconnected.","リズナ",,,,1,
C.H.S,"Unconnected","Dogma Magma",,,,,2,
C.H.S,"Unconnected","Gravevine",,,,,3,
C.H.S,"Unconnected","ALiCE'S COMMOTiON",,,,,4,
C.H.S,"Unconnected","Greed Eyed Monster",,,,,5,
C.H.S,"Unconnected","Limited Spark.","リズナ",,,,6,
C.H.S,"Unconnected","ヨウカイMeltdown",,,,,7,
C.H.S,"Unconnected","Nitrx",,,,,8,
C.H.S,"Unconnected","Night-Bird's Crying",,,,,9,
C.H.S,"Unconnected","Ghostly Parapara Ship(Horror struck Edit)","リズナ",,,,10,
C.H.S,"Unconnected","Dust, Mote.",,,,,11,
C.H.S,"Unconnected","Disconnected.",,,,,12,
