circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
C9,"ANOTHER HISTORY","tricky Virus",,,,,1,
C9,"ANOTHER HISTORY","Le extase de voile",,,,,2,
C9,"ANOTHER HISTORY","No Faith,No Life","yuya",,,,3,
C9,"ANOTHER HISTORY","No Faith,No Life(Trance Power Remix)",,,,,4,
C9,"ANOTHER HISTORY","Piece of Truth(Ex.02 Harder Dream)",,,,,5,
C9,"ANOTHER HISTORY","Verr?ckheit Zauberer - Zwei",,,,,6,
C9,"ANOTHER HISTORY","Hyper áH Jumpin' Girl",,,,,7,
C9,"ANOTHER HISTORY","Gimmie all of ur soulz",,,,,8,
C9,"ANOTHER HISTORY","Another History",,,,,9,
C9,"ANOTHER HISTORY","ëpâ_ÇÃìπññ - Boundary of shut cloud",,,,,10,
C9,"ANOTHER HISTORY","ÅuFxxx'x 53377Åv",,,,,11,
C9,"ANOTHER HISTORY","Welcome to my Fuckin' Flower Garden!!",,,,,12,
