circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
CODE ZTS LABEL,"Selfregards2","The mom",,,,,1,
CODE ZTS LABEL,"Selfregards2","BLUE LINK EMOTION-noctambulation-","",,,,2,
CODE ZTS LABEL,"Selfregards2","“V‹ó‚Ì‰Ô‚Ì“s",,,,,3,
CODE ZTS LABEL,"Selfregards2","If it dies rather-short.rm-",,,,,4,
CODE ZTS LABEL,"Selfregards2","If...(zts mix)","",,,,5,
CODE ZTS LABEL,"Selfregards2","“Œ•ûäÂ–²‘z`phantasmagoria`",,,,,6,
CODE ZTS LABEL,"Selfregards2","ç",,,,,7,
CODE ZTS LABEL,"Selfregards2","spiral ladder",,,,,8,
CODE ZTS LABEL,"Selfregards2","circle(zts mix)",,,,,9,
CODE ZTS LABEL,"Selfregards2","daily passing by(synthtone)",,,,,10,
