circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
COOL&CREATE,トウホウラブ,BEAT-NEW-WORLD,,ビートまりお,,懐かしき東方の血　～ Old World,1,コミックマーケット91
COOL&CREATE,トウホウラブ,春の水門でさざめく妖かし,,myu314,,春の湊に,2,コミックマーケット91
COOL&CREATE,トウホウラブ,シルバーエーリッヒ改,,ジュクチョー,,魔法少女十字軍,3,コミックマーケット91
COOL&CREATE,トウホウラブ,慧音・ド・大往生,あまね:ビートまりお,myu314,ビートまりお,懐かしき東方の血　～ Old World:プレインエイジア,4,コミックマーケット91
COOL&CREATE,トウホウラブ,灼熱紅茶祭イントーキョー,,ビートまりお:myu314,,上海紅茶館　～ Chinese Tea,5,コミックマーケット91
COOL&CREATE,トウホウラブ,Gothic Romancer ～さっさと契約しなさい！～,あまね:ビートまりお,まろん,まろん,少女さとり　～ 3rd eye:ハートフェルトファンシー:ラクトガール　～ 少女密室,6,コミックマーケット91
COOL&CREATE,トウホウラブ,ブラックチルノ改,,ジュクチョー,,おてんば恋娘,7,コミックマーケット91
COOL&CREATE,トウホウラブ,虫さまの姫　ひとり,あまね:ビートまりお,狐夢想,狐夢想,幻視の夜　～ Ghostly Eyes:蠢々秋月　～ Mooned Insect,8,コミックマーケット91
COOL&CREATE,トウホウラブ,ただひとり、ぼくはそらにいて,,myu314,,スプートニク幻夜,9,コミックマーケット91
COOL&CREATE,トウホウラブ,レイセン・オカルティア [東方深秘録 Re:Arrange],,ビートまりお,,狂気の瞳　～ Invisible Full Moon,10,コミックマーケット91
COOL&CREATE,トウホウラブ,ただいま～宇宙巫女帰還する,,myu314,,宇宙巫女帰還する,11,コミックマーケット91
