circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
CROW'SCLAW,Brutal Games For Reminding Of Death,IMMORTAL MADNESS,,鷹,,月まで届け、不死の煙,1,コミックマーケット75
CROW'SCLAW,Brutal Games For Reminding Of Death,WHAT YOU THINK,,鷹,,ハートフェルトファンシー,2,コミックマーケット75
CROW'SCLAW,Brutal Games For Reminding Of Death,SOLITUDE OF DESCENDANT,,鷹,,東方萃夢想,3,コミックマーケット75
CROW'SCLAW,Brutal Games For Reminding Of Death,HIBERNATION SICKNESS,,鷹,,無何有の郷　～ Deep Mountain,4,コミックマーケット75
CROW'SCLAW,Brutal Games For Reminding Of Death,COMMON STATE OF INNOCENT VIOLENCE,,鷹,,U.N.オーエンは彼女なのか？,5,コミックマーケット75
CROW'SCLAW,Brutal Games For Reminding Of Death,MIMETIC FLOWER,,鷹,,今昔幻想郷　～ Flower Land,6,コミックマーケット75
CROW'SCLAW,Brutal Games For Reminding Of Death,HOW DOES IF FEEL TO BE ALIVE?,,鷹,,竹取飛翔　～ Lunatic Princess,7,コミックマーケット75
CROW'SCLAW,Brutal Games For Reminding Of Death,GREEN OF GREEN EYES,,鷹,,緑眼のジェラシー,8,コミックマーケット75
CROW'SCLAW,Brutal Games For Reminding Of Death,"PUPPET OF THE MAGUS,PT.2:LOST MY LOVER",,鷹,,人形裁判　～ 人の形弄びし少女:恋色マスタースパーク,9,コミックマーケット75
CROW'SCLAW,Brutal Games For Reminding Of Death,"PUPPET OF THE MAGUS,PT.2:DOLL IN YOUR HAND",,鷹,,ブクレシュティの人形師,10,コミックマーケット75
