circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
CYTOKINE,"BACKFLASH Audibility DISC-1","Shattered Emotion - CYTOKINE Remix","Nana Takahashi",,,,1,
CYTOKINE,"BACKFLASH Audibility DISC-1","sEE NEW THE WORLD, SHE KNEW THE WORLD - CYTOKINE Remix","itori",,,,2,
CYTOKINE,"BACKFLASH Audibility DISC-1","Drive the Night Crazy - ALR Remix","Nana Takahashi",,,,3,
CYTOKINE,"BACKFLASH Audibility DISC-1","creeping indication - Syrufit Remix","aki",,,,4,
CYTOKINE,"BACKFLASH Audibility DISC-1","è™à≈ÇÃâeÇêÿÇËéÊÇÈåæÇÃótÇÃ - REDALiCE Remix","Nana Takahashi",,,,5,
CYTOKINE,"BACKFLASH Audibility DISC-1","Throw your cards down - Nhato Re","itori",,,,6,
CYTOKINE,"BACKFLASH Audibility DISC-1","Reincarnation - CYTOKINE Remix",,,,,7,
CYTOKINE,"BACKFLASH Audibility DISC-1","Border of Life - CYTOKINE Remix",,,,,8,
CYTOKINE,"BACKFLASH Audibility DISC-1","End of Daylight - CYTOKINE Remix",,,,,9,
CYTOKINE,"BACKFLASH Audibility DISC-1","words&tears - Tsukasa Remix","SYO",,,,10,
CYTOKINE,"BACKFLASH Audibility DISC-1","bifurcation - CYTOKINE Remix","aki",,,,11,
CYTOKINE,"BACKFLASH Audibility DISC-1","butterfly - CYTOKINE Remix",,,,,12,
CYTOKINE,"BACKFLASH Audibility DISC-1","çïÇÊÇËÇ‹Ç‘ÇµÇ¢ÇªÇÃê∫Ç≈","aki",,,,13,
CYTOKINE,"BACKFLASH Audibility DISC-2","ínóÏìaÇÃãNè∞ - CYTOKINE Remix",,,,,1,
CYTOKINE,"BACKFLASH Audibility DISC-2","stray whisper taker - tainokobone Remix","àªëqñø",,,,2,
CYTOKINE,"BACKFLASH Audibility DISC-2","Crystallize Silver - CYTOKINE Remix",,,,,3,
CYTOKINE,"BACKFLASH Audibility DISC-2","until curtain fails - panomamix","AÅ`YA",,,,4,
CYTOKINE,"BACKFLASH Audibility DISC-2","LOST CHILD - CYTOKINE Remix","àªëqñø",,,,5,
CYTOKINE,"BACKFLASH Audibility DISC-2","LNA-6B - CYTOKINE Remix","aki",,,,6,
CYTOKINE,"BACKFLASH Audibility DISC-2","breaking me softly - Poplica*Remix","itori",,,,7,
CYTOKINE,"BACKFLASH Audibility DISC-2","R.E.D - OTAKU-ELITE D.watt Remix","aki",,,,8,
CYTOKINE,"BACKFLASH Audibility DISC-2","ê¬ - CYTOKINE Remix",,,,,9,
CYTOKINE,"BACKFLASH Audibility DISC-2","ENVy - u7g Remix","VOCALOID2",,,,10,
CYTOKINE,"BACKFLASH Audibility DISC-2","Gather Gold - CYTOKINE Remix",,,,,11,
CYTOKINE,"BACKFLASH Audibility DISC-2","tRUE fAITH - CYTOKINE Remix","aki",,,,12,
CYTOKINE,"BACKFLASH Audibility DISC-2","a.shi.ta - CYTOKINE Remix","aki",,,,13,
CYTOKINE,"BACKFLASH Audibility DISC-2","Å_ÇØÇÒÇ±Ç§ÇƒÇÓÇÃÇ§ÇΩ/ - CYTOKINE Remix","akiÅAitori",,,,14,
