circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Casket,幻想パブベスト vol.1 Still sober!,Defying the power with power,,Escarmew,,恋色マスタースパーク,1,コミックマーケット85
Casket,幻想パブベスト vol.1 Still sober!,Dusk to night,,Escarmew,,蠢々秋月　～ Mooned Insect:妖魔夜行,2,コミックマーケット85
Casket,幻想パブベスト vol.1 Still sober!,Barraged,,Escarmew,,妖怪の山　～ Mysterious Mountain:夜雀の歌声　～ Night Bird,3,コミックマーケット85
Casket,幻想パブベスト vol.1 Still sober!,An cogadh mór,,Escarmew,,妖精大戦争　～ Fairy Wars:年中夢中の好奇心,4,コミックマーケット85
Casket,幻想パブベスト vol.1 Still sober!,Toss the icy feathers,,Escarmew,,可愛い大戦争のリフレーン:真夜中のフェアリーダンス,5,コミックマーケット85
Casket,幻想パブベスト vol.1 Still sober!,"Whistling with the bonnie lass(covering おぜうとぷぺぽー by Sing, R. Sing!)",,Escarmew,,亡き王女の為のセプテット,6,コミックマーケット85
Casket,幻想パブベスト vol.1 Still sober!,Chase the tail,,Escarmew,,お宇佐さまの素い幡,7,コミックマーケット85
Casket,幻想パブベスト vol.1 Still sober!,Froggy's hornpipe,,Escarmew,,明日ハレの日、ケの昨日,8,コミックマーケット85
Casket,幻想パブベスト vol.1 Still sober!,Where the misfortunes go,,Escarmew,,厄神様の通り道　～ Dark Road:運命のダークサイド,9,コミックマーケット85
Casket,幻想パブベスト vol.1 Still sober!,Glas,,Escarmew,,渡る者の途絶えた橋:緑眼のジェラシー,10,コミックマーケット85
Casket,幻想パブベスト vol.1 Still sober!,Oráiste,,Escarmew,,遠野幻想物語:ティアオイエツォン(withered leaf),11,コミックマーケット85
Casket,幻想パブベスト vol.1 Still sober!,Creideamh - sean,,Escarmew,,少女綺想曲　～ Dream Battle,12,コミックマーケット85
Casket,幻想パブベスト vol.1 Still sober!,Creideamh - nua,,Escarmew,,信仰は儚き人間の為に,13,コミックマーケット85
Casket,幻想パブベスト vol.1 Still sober!,"Cheers, mate!",,Escarmew,,芥川龍之介の河童　～ Candid Friend,14,コミックマーケット85
Casket,幻想パブベスト vol.1 Still sober!,Siúllóide iomarcach(Alternative version),,Escarmew,,ハルトマンの妖怪少女,15,コミックマーケット85
Casket,幻想パブベスト vol.1 Still sober!,Raven's nightcap,,Escarmew,,風神少女,16,コミックマーケット85
