circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Colorful Umbrella,"Alice-areA","Alice-areA","",,,,1,
Colorful Umbrella,"Alice-areA","Alice-griM","",,,,2,
Colorful Umbrella,"Alice-areA","NESARIA(R.E.edition)","",,,,3,
Colorful Umbrella,"Alice-areA","freefall","",,,,4,
Colorful Umbrella,"Alice-areA","S","",,,,5,
Colorful Umbrella,"Alice-areA","uNknOWn fIElD","",,,,6,
Colorful Umbrella,"Alice-areA","PPRS","",,,,7,
Colorful Umbrella,"Alice-areA","LIARIAM","",,,,8,
Colorful Umbrella,"Alice-areA","Retrofuture Skyscraper","",,,,9,
Colorful Umbrella,"Alice-areA","SkylanD","",,,,10,
Colorful Umbrella,"Alice-areA","Feel the wind(ver.ƒ¿)","",,,,11,
Colorful Umbrella,"Alice-areA","Fantasmagoria(Energetic Remix)","",,,,12,
Colorful Umbrella,"Alice-areA","Phantastic World","",,,,13,
