circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Cross Current,"MIRROR","麓の神社","",,,,1,
Cross Current,"MIRROR","懐かしき東方の血","",,,,2,
Cross Current,"MIRROR","月まで届け、不死の煙","",,,,3,
Cross Current,"MIRROR","信仰は儚き人間の為に","",,,,4,
Cross Current,"MIRROR","妖々跋扈","",,,,5,
Cross Current,"MIRROR","竹取飛翔","",,,,6,
Cross Current,"MIRROR","月見草","",,,,7,
Cross Current,"MIRROR","小さな小さな賢将","",,,,8,
Cross Current,"MIRROR","Cinderella Cage","",,,,9,
Cross Current,"MIRROR","ネイティブフェイス","",,,,10,
