circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
D.S.K Recordz,"The H.R.D. Redemption-Killer Night Girls-","NuMBeR NiNe","",,,,1,
D.S.K Recordz,"The H.R.D. Redemption-Killer Night Girls-","Nu-Style M.R.S.","",,,,2,
D.S.K Recordz,"The H.R.D. Redemption-Killer Night Girls-","Ultimate Truth(Revenant Remix)","",,,,3,
D.S.K Recordz,"The H.R.D. Redemption-Killer Night Girls-","Dance In The Mountain Of Faith","",,,,4,
D.S.K Recordz,"The H.R.D. Redemption-Killer Night Girls-","Flowering Black Knight","",,,,5,
D.S.K Recordz,"The H.R.D. Redemption-Killer Night Girls-","Alice In The Brilliant World","",,,,6,
D.S.K Recordz,"The H.R.D. Redemption-Killer Night Girls-","Septet For Uryyyyyyyyyyyy!!","",,,,7,
D.S.K Recordz,"The H.R.D. Redemption-Killer Night Girls-","Jamming","",,,,8,
D.S.K Recordz,"The H.R.D. Redemption-Killer Night Girls-","Moon Rabbits","",,,,9,
D.S.K Recordz,"The H.R.D. Redemption-Killer Night Girls-","R34|!2&|Å®","",,,,10,
D.S.K Recordz,"The H.R.D. Redemption-Killer Night Girls-","Not Quite U.N.","",,,,11,
