circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
DDBY,8BiTouhou,妖々夢 Snow or Cherry Petal,,Bizen,,妖々夢　～ Snow or Cherry Petal,1,M3-2008秋
DDBY,8BiTouhou,旧地獄街道を行く,,Bizen,,旧地獄街道を行く,2,M3-2008秋
DDBY,8BiTouhou,少女綺想曲 Dream Battle,,Bizen,,少女綺想曲　～ Dream Battle,3,M3-2008秋
DDBY,8BiTouhou,プレインエイジア,,Bizen,,プレインエイジア,4,M3-2008秋
DDBY,8BiTouhou,ボーダーオブライフ,,Bizen,,ボーダーオブライフ,5,M3-2008秋
DDBY,8BiTouhou,懐かしき東方の血 Old World,,Bizen,,懐かしき東方の血　～ Old World,6,M3-2008秋
DDBY,8BiTouhou,幻視の夜 Ghostly Eyes,,Bizen,,幻視の夜　～ Ghostly Eyes,7,M3-2008秋
DDBY,8BiTouhou,蠢々秋月 Mooned Insect,,Bizen,,蠢々秋月　～ Mooned Insect,8,M3-2008秋
DDBY,8BiTouhou,もう歌しか聞こえない,,Bizen,,もう歌しか聞こえない,9,M3-2008秋
DDBY,8BiTouhou,千年幻想郷 History of the Moon,,Bizen,,千年幻想郷　～ History of the Moon,10,M3-2008秋
DDBY,8BiTouhou,ハルトマンの妖怪少女,,Bizen,,ハルトマンの妖怪少女,11,M3-2008秋
DDBY,8BiTouhou,上海紅茶館 Chinese Tea,,Bizen,,上海紅茶館　～ Chinese Tea,12,M3-2008秋
DDBY,8BiTouhou,明日ハレの日、ケの昨日,,Bizen,,明日ハレの日、ケの昨日,13,M3-2008秋
DDBY,8BiTouhou,東の国の眠らない夜,,Bizen,,東の国の眠らない夜,14,M3-2008秋
DDBY,8BiTouhou,さくらさくら Japanize Dream,,Bizen,,さくらさくら　～ Japanize Dream...,15,M3-2008秋
DDBY,8BiTouhou,封じられた妖怪 Lost Place,,三角派,,封じられた妖怪　～ Lost Place,16,M3-2008秋
