circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
DDBY,8BiTouhou3,8bit 遠野幻想物語,,Bizen,,遠野幻想物語,1,博麗神社例大祭6
DDBY,8BiTouhou3,8bit 恋色マスタースパーク,,Bizen,,恋色マスタースパーク,2,博麗神社例大祭6
DDBY,8BiTouhou3,8bit 妖魔夜行,,Bizen,,妖魔夜行,3,博麗神社例大祭6
DDBY,8BiTouhou3,8bit 東方妖怪小町,,Bizen,,東方妖怪小町,4,博麗神社例大祭6
DDBY,8BiTouhou3,8bit 少女幻葬 Necro-Fantasy,,Bizen,,少女幻葬　～ Necro-Fantasy,5,博麗神社例大祭6
DDBY,8BiTouhou3,8bit 幽霊楽団 Phantom Ensemble,,Bizen,,幽霊楽団　～ Phantom Ensemble,6,博麗神社例大祭6
DDBY,8BiTouhou3,8bit エクステンドアッシュ 蓬莱人,,Bizen,,エクステンドアッシュ　～ 蓬莱人,7,博麗神社例大祭6
DDBY,8BiTouhou3,8bit 妖々跋扈 Who done it!,,Bizen,,妖々跋扈　～ Who done it!,8,博麗神社例大祭6
DDBY,8BiTouhou3,8bit 月まで届け、不死の煙,,Bizen,,月まで届け、不死の煙,9,博麗神社例大祭6
DDBY,8BiTouhou3,8bit 廃獄ララバイ,,Bizen,,廃獄ララバイ,10,博麗神社例大祭6
DDBY,8BiTouhou3,8bit 幽雅に咲かせ、墨染の桜 Border of Life,,Bizen,,幽雅に咲かせ、墨染の桜　～ Border of Life,11,博麗神社例大祭6
