circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Dark PHOENiX,Arrow Revolver,緑眼のジェラシー,,ゆう:姫川紫音,,緑眼のジェラシー,1,コミックマーケット74
Dark PHOENiX,Arrow Revolver,華のさかづき大江山,,ゆう:姫川紫音,,華のさかづき大江山,2,コミックマーケット74
Dark PHOENiX,Arrow Revolver,少女幻葬,,ゆう:姫川紫音,,少女幻葬　～ Necro-Fantasy,3,コミックマーケット74
Dark PHOENiX,Arrow Revolver,少女綺想曲,,ゆう:姫川紫音,,少女綺想曲　～ Dream Battle,4,コミックマーケット74
Dark PHOENiX,Arrow Revolver,神々が恋した幻想郷,,ゆう:姫川紫音,,神々が恋した幻想郷,5,コミックマーケット74
Dark PHOENiX,Arrow Revolver,運命のダークサイド,,ゆう:姫川紫音,,運命のダークサイド,6,コミックマーケット74
Dark PHOENiX,Arrow Revolver,天狗が見ている,,ゆう:姫川紫音,,天狗が見ている　～ Black Eyes,7,コミックマーケット74
Dark PHOENiX,Arrow Revolver,フラワリングナイト,,ゆう:姫川紫音,,フラワリングナイト,8,コミックマーケット74
Dark PHOENiX,Arrow Revolver,幽霊楽団 Ver2.0,,ゆう:姫川紫音,,幽霊楽団　～ Phantom Ensemble,9,コミックマーケット74
Dark PHOENiX,Arrow Revolver,花は幻想のままに,,ゆう:姫川紫音,,花は幻想のままに,10,コミックマーケット74
