circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Dark PHOENiX,Arrow Revolution,暗闇の風穴,,ゆう:姫川紫音,,暗闇の風穴,1,コミックマーケット75
Dark PHOENiX,Arrow Revolution,クリスタライズシルバー,,ゆう:姫川紫音,,クリスタライズシルバー,2,コミックマーケット75
Dark PHOENiX,Arrow Revolution,神さびた古戦場,,ゆう:姫川紫音,,神さびた古戦場　～ Suwa Foughten Field,3,コミックマーケット75
Dark PHOENiX,Arrow Revolution,おてんば恋娘,,ゆう:姫川紫音,,おてんば恋娘,4,コミックマーケット75
Dark PHOENiX,Arrow Revolution,月まで届け、不死の煙,,Lix,,月まで届け、不死の煙,5,コミックマーケット75
Dark PHOENiX,Arrow Revolution,幽雅に咲かせ、墨染の桜,,ゆう:姫川紫音,,幽雅に咲かせ、墨染の桜　～ Border of Life,6,コミックマーケット75
Dark PHOENiX,Arrow Revolution,フォールオブフォール,,ゆう:姫川紫音,,フォールオブフォール　～ 秋めく滝,7,コミックマーケット75
Dark PHOENiX,Arrow Revolution,黒い海に紅く,,ゆう:姫川紫音,,黒い海に紅く　～ Legendary Fish,8,コミックマーケット75
Dark PHOENiX,Arrow Revolution,御柱の墓場,,ゆう:姫川紫音,,御柱の墓場　～ Grave of Being,9,コミックマーケット75
Dark PHOENiX,Arrow Revolution,千年幻想郷,,ゆう:姫川紫音,,千年幻想郷　～ History of the Moon,10,コミックマーケット75
