circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
DiGiTAL WiNG,"Angel Time Instrumental","Angel Time introduction",,,,,1,
DiGiTAL WiNG,"Angel Time Instrumental","ANGEL WiNG",,,,,2,
DiGiTAL WiNG,"Angel Time Instrumental","entertained",,,,,3,
DiGiTAL WiNG,"Angel Time Instrumental","Three Magic",,,,,4,
DiGiTAL WiNG,"Angel Time Instrumental","Mind Party Control",,,,,5,
DiGiTAL WiNG,"Angel Time Instrumental","Rainbow note",,,,,6,
DiGiTAL WiNG,"Angel Time Instrumental","水平",,,,,7,
DiGiTAL WiNG,"Angel Time Instrumental","ZENSEN",,,,,8,
DiGiTAL WiNG,"Angel Time Instrumental","パチュリコ",,,,,9,
DiGiTAL WiNG,"Angel Time Instrumental","止まるなかれ、進むなかれ",,,,,10,
DiGiTAL WiNG,"Angel Time Instrumental","S.A.T.O.R.A.R.E(Halozy EUROBEAT Remix)",,,,,11,
