circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
dBu music,弾奏結界 幻葬旋律曲 Necromanza,無何有の郷　～ Snowed Mountain,,どぶウサギ,,無何有の郷　～ Deep Mountain,1,博麗神社例大祭2
dBu music,弾奏結界 幻葬旋律曲 Necromanza,雪化結晶　～ Crystallized Silver,,どぶウサギ,,クリスタライズシルバー,2,博麗神社例大祭2
dBu music,弾奏結界 幻葬旋律曲 Necromanza,遠野幻想郷物語,,どぶウサギ,,遠野幻想物語,3,博麗神社例大祭2
dBu music,弾奏結界 幻葬旋律曲 Necromanza,てぃあおいえつぉん,,どぶウサギ,,ティアオイエツォン(withered leaf),4,博麗神社例大祭2
dBu music,弾奏結界 幻葬旋律曲 Necromanza,人形裁判　～ 人の形弄びし少女,,どぶウサギ,,人形裁判　～ 人の形弄びし少女,5,博麗神社例大祭2
dBu music,弾奏結界 幻葬旋律曲 Necromanza,騒霊樂団　～ Phantom Ensemble,,どぶウサギ,,幽霊楽団　～ Phantom Ensemble,6,博麗神社例大祭2
dBu music,弾奏結界 幻葬旋律曲 Necromanza,東方妖妖夢　～ the Ancient Temple,,どぶウサギ,,東方妖々夢　～ Ancient Temple,7,博麗神社例大祭2
dBu music,弾奏結界 幻葬旋律曲 Necromanza,広有射怪鳥事　～ Till When?,,どぶウサギ,,広有射怪鳥事　～ Till When?,8,博麗神社例大祭2
dBu music,弾奏結界 幻葬旋律曲 Necromanza,究極の真実　～ the Ultimate Truth,,どぶウサギ,,アルティメットトゥルース,9,博麗神社例大祭2
dBu music,弾奏結界 幻葬旋律曲 Necromanza,優雅に咲かせ、墨染の桜　～ Border of Life,,どぶウサギ,,幽雅に咲かせ、墨染の桜　～ Border of Life,10,博麗神社例大祭2
dBu music,弾奏結界 幻葬旋律曲 Necromanza,さくら、さくら。　～ Japanize Dream,,どぶウサギ,,さくらさくら　～ Japanize Dream...,11,博麗神社例大祭2
dBu music,弾奏結界 幻葬旋律曲 Necromanza,少女幻葬戦慄曲　～ Necro Fantasia,,どぶウサギ,,ネクロファンタジア,12,博麗神社例大祭2
