circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
ESQUARIA,XTEND DRIVE,Irrelevant -Both sides-,めらみぽっぷ,RUON,中路もとめ,もう歌しか聞こえない,1,コミックマーケット90
ESQUARIA,XTEND DRIVE,Dollars - CleanTears Remix -,CHICACO,CleanTears,ヤヤネヒロコ ,パンデモニックプラネット,2,コミックマーケット90
ESQUARIA,XTEND DRIVE,Phantom,,satella,,ヴォヤージュ1969,3,コミックマーケット90
ESQUARIA,XTEND DRIVE,"GoodBye, Happy Unbirthday",CHICACO,RUON,ヤヤネヒロコ,エクステンドアッシュ　～ 蓬莱人,4,コミックマーケット90
ESQUARIA,XTEND DRIVE,Ms.ENDLESS,綾倉盟,RUON,中路もとめ,狂気の瞳　～ Invisible Full Moon,5,コミックマーケット90
ESQUARIA,XTEND DRIVE,Dead Stock,,LAZ,,エクステンドアッシュ　～ 蓬莱人,6,コミックマーケット90
ESQUARIA,XTEND DRIVE,GOGIC GEAR - Visko Remix -,綾倉盟,RUON,中路もとめ,童祭　～ Innocent Treasures,7,コミックマーケット90
ESQUARIA,XTEND DRIVE,cosmodelic,,ziki_7,,Eternal Dream　～ 幽玄の槭樹,8,コミックマーケット90
ESQUARIA,XTEND DRIVE,Viaduct - kaguraduki Remix -,CHICACO,kaguraduki,海兎,ヒロシゲ36号　～ Neo Super-Express,9,コミックマーケット90
ESQUARIA,XTEND DRIVE,Irrelevant -Both sides- - fang Remix -,めらみぽっぷ,fang,中路もとめ,もう歌しか聞こえない,10,コミックマーケット90
