circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
EastNewSound,Dione Aggregation,Steady night,リツカ,黒鳥,海兎,亡き王女の為のセプテット,1,コミックマーケット81
EastNewSound,Dione Aggregation,Long time ago,紫咲ほたる,MiYAMO,海兎,小さな欲望の星空,2,コミックマーケット81
EastNewSound,Dione Aggregation,星霜輪廻～Repeat～,茶太,黒鳥,くまりす,聖徳伝説　～ True Administrator,3,コミックマーケット81
EastNewSound,Dione Aggregation,[人]人～ひと～,Cryu,Irus,くまりす,ゴーストリード,4,コミックマーケット81
EastNewSound,Dione Aggregation,桜∞friendship(きりん Shining Summer Remix),実谷なな,MiYAMO,下和田ヒロキ,死霊の夜桜,5,コミックマーケット81
EastNewSound,Dione Aggregation,effulgence,びびあん,きりん,海兎,デザイアドリーム,6,コミックマーケット81
EastNewSound,Dione Aggregation,Star Light,クボタン,Eternal Force,海兎,夢殿大祀廟,7,コミックマーケット81
EastNewSound,Dione Aggregation,I:solation,夕月椿,きりん,海兎,妖怪寺へようこそ,8,コミックマーケット81
EastNewSound,Dione Aggregation,Everlasting,平の怒っ涛.　from　へーけ,黒鳥,海兎,妖怪裏参道,9,コミックマーケット81
EastNewSound,Dione Aggregation,時の檻,葉月ゆら,きりん,くまりす,古きユアンシェン,10,コミックマーケット81
EastNewSound,Dione Aggregation,Starry heavens,れん,黒鳥,海兎,デザイアドライブ,11,コミックマーケット81
EastNewSound,Dione Aggregation,Loop Vision,築山さえ,Tracy,海兎,佐渡の二ッ岩,12,コミックマーケット81
