circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Eurobeat Union,ユーロバカ一代 VOL.2,Dancing In The Moon Night,Cocoa,DJ Command,Cocoa,Witching Dream:春色小径　～ Colorful Path,1,コミックマーケット87
Eurobeat Union,ユーロバカ一代 VOL.2,LAST MEMORY,Cocoa,FN2,Cocoa,少女綺想曲 ? Dream Battle,2,コミックマーケット87
Eurobeat Union,ユーロバカ一代 VOL.2,JUST LOVE,NU-KO,DJ Command,LAN.na,オリジナル,3,コミックマーケット87
Eurobeat Union,ユーロバカ一代 VOL.2,好きだよ。。。,秋成,LAN.na:FN2,秋成,東方妖恋談:二色蓮花蝶　～ Ancients,4,コミックマーケット87
Eurobeat Union,ユーロバカ一代 VOL.2,GONNA BE ALL RIGHT,maria♂polo,DJ Command,maria♂polo,オリジナル,5,コミックマーケット87
Eurobeat Union,ユーロバカ一代 VOL.2,星屑パズル,あき(はにーぽけっと),FN2,あき(はにーぽけっと),オリジナル,6,コミックマーケット87
Eurobeat Union,ユーロバカ一代 VOL.2,Dancing In The Moon Night [Instrumental],,DJ Command,,Witching Dream:春色小径　～ Colorful Path,7,コミックマーケット87
Eurobeat Union,ユーロバカ一代 VOL.2,LAST MEMORY [Instrumental],,FN2,,少女綺想曲 ? Dream Battle,8,コミックマーケット87
Eurobeat Union,ユーロバカ一代 VOL.2,JUST LOVE [Instrumental],,DJ Command,,オリジナル,9,コミックマーケット87
Eurobeat Union,ユーロバカ一代 VOL.2,好きだよ。。。 [Instrumental],,LAN.na:FN2,,東方妖恋談:二色蓮花蝶　～ Ancients,10,コミックマーケット87
Eurobeat Union,ユーロバカ一代 VOL.2,GONNA BE ALL RIGHT [Instrumental],,DJ Command,,オリジナル,11,コミックマーケット87
Eurobeat Union,ユーロバカ一代 VOL.2,星屑パズル [Instrumental],,FN2,,オリジナル,12,コミックマーケット87
Eurobeat Union,ユーロバカ一代 VOL.2,O! S! U! EURO MAN [DJ TAKURO@MEGABEAT HYPER EDIT],,DJ TAKURO@MEGABEAT,,オリジナル,13,コミックマーケット87
