circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
efs,Re:Birth,幽雅に咲かせ、墨染の桜　～ Border of Life --<Transient Memories>,葉山りく,八神将義,葉山りく,幽雅に咲かせ、墨染の桜　～ Border of Life,1,博麗神社例大祭8
efs,Re:Birth,とある妖の観測的美学,阿部左,八神将義,阿部左,芥川龍之介の河童　～ Candid Friend,2,博麗神社例大祭8
efs,Re:Birth,"～A monologue of ""Marisa""～",結城京華,八神将義,,,3,博麗神社例大祭8
efs,Re:Birth,恋色マスタースパーク --<SplashSpeed>,結城京華,八神将義,結城京華,恋色マスタースパーク,4,博麗神社例大祭8
efs,Re:Birth,竹取飛翔　～ Lunatic Princess --<Eternal Change>,野瀬冬弥,八神将義,八神将義,竹取飛翔　～ Lunatic Princess,5,博麗神社例大祭8
efs,Re:Birth,少女さとり --<trauma>,結城京華,八神将義,結城京華,少女さとり　～ 3rd eye,6,博麗神社例大祭8
efs,Re:Birth,Cleave My Way,野瀬冬弥,八神将義,野瀬冬弥,厄神様の通り道　～ Dark Road,7,博麗神社例大祭8
efs,Re:Birth,追憶,結城京華,八神将義,結城京華,御柱の墓場　～ Grave of Being,8,博麗神社例大祭8
efs,Re:Birth,上海紅茶館　～ Chinese Tea --<GrooveBox>,葉山りく,八神将義,葉山りく,上海紅茶館　～ Chinese Tea,9,博麗神社例大祭8
efs,Re:Birth,"～A monologue of ""Alice""～",阿部左,八神将義,,,10,博麗神社例大祭8
efs,Re:Birth,ブクレシュティの人形師 --<RetroAtmosphere>,阿部左,八神将義,阿部左,ブクレシュティの人形師,11,博麗神社例大祭8
