circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
FELT,Rebirth StoryⅡ DISC-1,Star Velocity,美歌,NAGI☆,美歌,Selene's Light,1,博麗神社例大祭11
FELT,Rebirth StoryⅡ DISC-1,Hail Storm,舞花,NAGI☆,美歌,おてんば恋娘,2,博麗神社例大祭11
FELT,Rebirth StoryⅡ DISC-1,Roll Ground,舞花,NAGI☆,美歌,月まで届け、不死の煙,3,博麗神社例大祭11
FELT,Rebirth StoryⅡ DISC-1,BRIGHTEST WAY,Vivienne,"Maurits""禅""Cornelis",David Kronos,月まで届け、不死の煙,4,博麗神社例大祭11
FELT,Rebirth StoryⅡ DISC-1,Once Upon a Love,Vivienne,"Maurits""禅""Cornelis",Renko,六十年目の東方裁判　～ Fate of Sixty Years,5,博麗神社例大祭11
FELT,Rebirth StoryⅡ DISC-1,Innocent Eyes,舞花,NAGI☆,舞花,少女さとり　～ 3rd eye,6,博麗神社例大祭11
FELT,Rebirth StoryⅡ DISC-1,Feel The Flow,舞花,NAGI☆,舞花,ルーネイトエルフ,7,博麗神社例大祭11
FELT,Rebirth StoryⅡ DISC-1,Light My Life,Vivienne,"Maurits""禅""Cornelis",Renko,万年置き傘にご注意を,8,博麗神社例大祭11
FELT,Rebirth StoryⅡ DISC-1,Endless Night,Vivienne,"Maurits""禅""Cornelis",Renko,ラクトガール　～ 少女密室,9,博麗神社例大祭11
FELT,Rebirth StoryⅡ DISC-1,Prayer Blue,舞花,NAGI☆,美歌,信仰は儚き人間の為に,10,博麗神社例大祭11
FELT,Rebirth StoryⅡ DISC-1,Liminality,Vivienne,"Maurits""禅""Cornelis",Renko,彼岸帰航　～ Riverside View,11,博麗神社例大祭11
FELT,Rebirth StoryⅡ DISC-1,SINK,,NAGI☆,,竹取飛翔　～ Lunatic Princess,12,博麗神社例大祭11
FELT,Rebirth StoryⅡ DISC-1,Under cloud,美歌,NAGI☆,美歌,竹取飛翔　～ Lunatic Princess,13,博麗神社例大祭11
FELT,Rebirth StoryⅡ DISC-2,Can't look away,Vivienne,"Maurits""禅""Cornelis",Renko,夢殿大祀廟,1,博麗神社例大祭11
FELT,Rebirth StoryⅡ DISC-2,Crumbling,Vivienne,"Maurits""禅""Cornelis",Renko,魔界地方都市エソテリア,2,博麗神社例大祭11
FELT,Rebirth StoryⅡ DISC-2,Lies in Reality,Vivienne,"Maurits""禅""Cornelis",Renko,大神神話伝,3,博麗神社例大祭11
FELT,Rebirth StoryⅡ DISC-2,Life,美歌,NAGI☆,美歌,東方緋想天,4,博麗神社例大祭11
FELT,Rebirth StoryⅡ DISC-2,Runway Drive,舞花,NAGI☆,美歌,プレインエイジア,5,博麗神社例大祭11
FELT,Rebirth StoryⅡ DISC-2,Step,美歌,"NAGI☆:Maurits""禅""Cornelis",美歌,幽霊楽団　～ Phantom Ensemble,6,博麗神社例大祭11
FELT,Rebirth StoryⅡ DISC-2,World Around Us,Vivienne,"Maurits""禅""Cornelis",Renko,クリスタライズシルバー,7,博麗神社例大祭11
FELT,Rebirth StoryⅡ DISC-2,Little Nova,舞花,NAGI☆,舞花,妖々夢　～ Snow or Cherry Petal,8,博麗神社例大祭11
FELT,Rebirth StoryⅡ DISC-2,Silent Star,美歌,NAGI☆,美歌,スカイルーイン,9,博麗神社例大祭11
FELT,Rebirth StoryⅡ DISC-2,One More Time,Vivienne,"Maurits""禅""Cornelis",Renko,ゴーストリード,10,博麗神社例大祭11
FELT,Rebirth StoryⅡ DISC-2,Day after,舞花,NAGI☆,美歌,今昔幻想郷　～ Flower Land,11,博麗神社例大祭11
FELT,Rebirth StoryⅡ DISC-2,CLONE,,NAGI☆,,東方萃夢想,12,博麗神社例大祭11
FELT,Rebirth StoryⅡ DISC-2,And Other,美歌,NAGI☆,美歌,東方萃夢想,13,博麗神社例大祭11
