circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Factory Noise&AG,"BorderLine","妖々夢　～ Snow or Cherry Petal","",,,,1,
Factory Noise&AG,"BorderLine","Strawberry Crisis!!","",,,,2,
Factory Noise&AG,"BorderLine","フォルスストロベリー","",,,,3,
Factory Noise&AG,"BorderLine","U.N.オーエンは彼女なのか?","",,,,4,
Factory Noise&AG,"BorderLine","エクステンドアッシュ　～ 蓬莱人","",,,,5,
Factory Noise&AG,"BorderLine","幻視の夜　～ Ghostly Eyes","",,,,6,
Factory Noise&AG,"BorderLine","幽霊楽団　～ Phantom Ensemble","",,,,7,
Factory Noise&AG,"BorderLine","プリムローズシヴァ","",,,,8,
Factory Noise&AG,"BorderLine","ヴォヤージュ1970","",,,,9,
Factory Noise&AG,"BorderLine","明治十七年の上海アリス","",,,,10,
Factory Noise&AG,"BorderLine","亡き王女の為のセプテット","",,,,11,
Factory Noise&AG,"BorderLine","遠野幻想物語","",,,,12,
Factory Noise&AG,"BorderLine","天空アーミー","",,,,13,
Factory Noise&AG,"BorderLine","ラクトガール　～ 少女密室","",,,,14,
Factory Noise&AG,"BorderLine","幽雅に咲かせ、墨染の桜　～ Border of Life","",,,,15,
Factory Noise&AG,"BorderLine","もう歌しか聞こえない","",,,,16,
