circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Frontier Records,"東方白梅娘 TOUHO BAIMEINYAN DISC-1","七色マリオネット","",,,,1,
Frontier Records,"東方白梅娘 TOUHO BAIMEINYAN DISC-1","街のテーマ","",,,,2,
Frontier Records,"東方白梅娘 TOUHO BAIMEINYAN DISC-1","バトルA","",,,,3,
Frontier Records,"東方白梅娘 TOUHO BAIMEINYAN DISC-1","ダンジョン","",,,,4,
Frontier Records,"東方白梅娘 TOUHO BAIMEINYAN DISC-1","バトルB","",,,,5,
Frontier Records,"東方白梅娘 TOUHO BAIMEINYAN DISC-1","悪意の開花","",,,,6,
Frontier Records,"東方白梅娘 TOUHO BAIMEINYAN DISC-1","ボスバトル","",,,,7,
Frontier Records,"東方白梅娘 TOUHO BAIMEINYAN DISC-1","悲しみを乗り越えて","",,,,8,
Frontier Records,"東方白梅娘 TOUHO BAIMEINYAN DISC-1","ラストダンジョン","",,,,9,
Frontier Records,"東方白梅娘 TOUHO BAIMEINYAN DISC-1","FreezingRain","",,,,10,
Frontier Records,"東方白梅娘 TOUHO BAIMEINYAN DISC-1","エンディング","",,,,11,
Frontier Records,"東方白梅娘 TOUHO BAIMEINYAN DISC-1","悠久なる邂逅","",,,,12,
Frontier Records,"東方白梅娘 TOUHO BAIMEINYAN DISC-2","Luna(Vocal version)","",,,,1,
Frontier Records,"東方白梅娘 TOUHO BAIMEINYAN DISC-2","lockedgirl","",,,,2,
Frontier Records,"東方白梅娘 TOUHO BAIMEINYAN DISC-2","星蓮船サーガ","",,,,3,
Frontier Records,"東方白梅娘 TOUHO BAIMEINYAN DISC-2","不思議の国のバトル","",,,,4,
Frontier Records,"東方白梅娘 TOUHO BAIMEINYAN DISC-2","決戦!ロレーライ～ミンスティアル・ソング～","",,,,5,
Frontier Records,"東方白梅娘 TOUHO BAIMEINYAN DISC-2","ALICE IN THE ABYSS","",,,,6,
Frontier Records,"東方白梅娘 TOUHO BAIMEINYAN DISC-2","LuNa(instrumental)",,,,,7,
Frontier Records,"東方白梅娘 TOUHO BAIMEINYAN DISC-2","千年幻想郷バトル","",,,,8,
Frontier Records,"東方白梅娘 TOUHO BAIMEINYAN DISC-2","七色マリオネット(instrumental)",,,,,9,
Frontier Records,"東方白梅娘 TOUHO BAIMEINYAN DISC-2","FreezingRain(instrumental)",,,,,10,
