circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
flap+frog,"honey","ハニカム(hotcake mix)",,,,,1,
flap+frog,"honey","Un Fiore Rosa(Take B2)",,,,,2,
flap+frog,"honey","コットンキャンバスシューズ",,,,,3,
flap+frog,"honey","服は、着ないの。",,,,,4,
flap+frog,"honey","キリサメAゴシックPro",,,,,5,
flap+frog,"honey","session1884",,,,,6,
flap+frog,"honey","rouge-gorge",,,,,7,
flap+frog,"honey","Spring is just around the corner",,,,,8,
flap+frog,"honey","ジャムとクリームチーズのサンドウィッチ",,,,,9,
flap+frog,"honey","ontembaar",,,,,10,
