circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
fromadistance,Duende,Grimoire of AliceⅠ,,spctrm,,the Grimoire of Alice,1,コミックマーケット80
fromadistance,Duende,永夜返し,,spctrm,,ヴォヤージュ1969,2,コミックマーケット80
fromadistance,Duende,無間の鐘,,spctrm,,無間の鐘　～ Infinite Nightmare,3,コミックマーケット80
fromadistance,Duende,全人類の緋想天,,spctrm,,有頂天変　～ Wonderful Heaven,4,コミックマーケット80
fromadistance,Duende,Grimoire of Marisa,,spctrm,,魔法使いの憂鬱,5,コミックマーケット80
fromadistance,Duende,永夜抄,,spctrm,,永夜の報い　～ Imperishable Night.,6,コミックマーケット80
fromadistance,Duende,真生未分の一心,,spctrm,,法界の火,7,コミックマーケット80
fromadistance,Duende,非想非非想天,,spctrm,,アンノウンＸ　～ Unfound Adventure,8,コミックマーケット80
fromadistance,Duende,Grimoire of AliceⅡ,,spctrm,,the Grimoire of Alice,9,コミックマーケット80
fromadistance,Duende,ラストジャッジメント,,spctrm,,六十年目の東方裁判　～ Fate of Sixty Years,10,コミックマーケット80
