circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
GET IN THE RING,AVENGE,EXceed The Limit!,みぃ,GCHM,Jell:GCHM,魔法少女達の百年祭:妖々跋扈:エクステンドアッシュ　～ 蓬莱人:明日ハレの日、ケの昨日:ラストリモート:夜空のユーフォーロマンス:妖々跋扈　～ Who done it!,1,博麗神社例大祭8
GET IN THE RING,AVENGE,雪琥珀-snow amber-,みぃ:℃iel,GCHM,Jell,春の湊に:小さな小さな賢将:魔界地方都市エソテリア:虎柄の毘沙門天,2,博麗神社例大祭8
GET IN THE RING,AVENGE,セピア川は今も流るる,みぃ,GCHM,Jell,芥川龍之介の河童　～ Candid Friend,3,博麗神社例大祭8
GET IN THE RING,AVENGE,Dive into Paradice,みぃ,GCHM,GCHM,幽霊楽団　～ Phantom Ensemble,4,博麗神社例大祭8
GET IN THE RING,AVENGE,ポワゾン,みぃ,GCHM,Jell,ポイズンボディ　～ Forsaken Doll,5,博麗神社例大祭8
GET IN THE RING,AVENGE,LIAR EMOTION,みぃ,GCHM,Jell,亡き王女の為のセプテット:U.N.オーエンは彼女なのか？,6,博麗神社例大祭8
GET IN THE RING,AVENGE,蓬菟,みぃ,GCHM,Jell,永夜抄　～ Eastern Night.:月見草:Eternal Dream　～ 幽玄の槭樹,7,博麗神社例大祭8
GET IN THE RING,AVENGE,EXceed The Limit!(Instrumental),,GCHM,,魔法少女達の百年祭:妖々跋扈:エクステンドアッシュ　～ 蓬莱人:明日ハレの日、ケの昨日:ラストリモート:夜空のユーフォーロマンス:妖々跋扈　～ Who done it!,8,博麗神社例大祭8
GET IN THE RING,AVENGE,雪琥珀-snow amber-(Instrumental),,GCHM,,春の湊に:小さな小さな賢将:魔界地方都市エソテリア:虎柄の毘沙門天,9,博麗神社例大祭8
GET IN THE RING,AVENGE,セピア川は今も流るる(Instrumental),,GCHM,,芥川龍之介の河童　～ Candid Friend,10,博麗神社例大祭8
GET IN THE RING,AVENGE,Dive into Paradice(Instrumental),,GCHM,,幽霊楽団　～ Phantom Ensemble,11,博麗神社例大祭8
GET IN THE RING,AVENGE,ポワゾン(Instrumental),,GCHM,,ポイズンボディ　～ Forsaken Doll,12,博麗神社例大祭8
GET IN THE RING,AVENGE,LIAR EMOTION(Instrumental),,GCHM,,亡き王女の為のセプテット:U.N.オーエンは彼女なのか？,13,博麗神社例大祭8
GET IN THE RING,AVENGE,蓬菟(Instrumental),,GCHM,,永夜抄　～ Eastern Night.:月見草:Eternal Dream　～ 幽玄の槭樹,14,博麗神社例大祭8
