circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Golden City Factory,"東方 Midnight MAXIMUMTUNE. 参","恋色マスタースパーク",,,,,1,
Golden City Factory,"東方 Midnight MAXIMUMTUNE. 参","ラクトガール　～ 少女密室",,,,,2,
Golden City Factory,"東方 Midnight MAXIMUMTUNE. 参","広有射怪鳥事　～ Till When?",,,,,3,
Golden City Factory,"東方 Midnight MAXIMUMTUNE. 参","星の器　～ Casket of Star",,,,,4,
Golden City Factory,"東方 Midnight MAXIMUMTUNE. 参","御伽の国の鬼が島　～ Missing Power",,,,,5,
Golden City Factory,"東方 Midnight MAXIMUMTUNE. 参","幽雅に咲かせ、墨染の桜　～ Border of Life",,,,,6,
Golden City Factory,"東方 Midnight MAXIMUMTUNE. 参","狂気の瞳　～ Invisible Full Moon",,,,,7,
Golden City Factory,"東方 Midnight MAXIMUMTUNE. 参","魔女達の舞踏会　～ Magus",,,,,8,
Golden City Factory,"東方 Midnight MAXIMUMTUNE. 参","少女綺想曲　～ Capriccio",,,,,9,
Golden City Factory,"東方 Midnight MAXIMUMTUNE. 参","ネクロファンタジア",,,,,10,
Golden City Factory,"東方 Midnight MAXIMUMTUNE. 参","眠れる恐怖　～ Sleeping Terror",,,,,11,
Golden City Factory,"東方 Midnight MAXIMUMTUNE. 参","明治十七年の上海アリス",,,,,12,
Golden City Factory,"東方 Midnight MAXIMUMTUNE. 参","the Grimoire of Alice",,,,,13,
Golden City Factory,"東方 Midnight MAXIMUMTUNE. 参","竹取飛翔　～ Lunatic Princess",,,,,14,
