circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Golden City Factory,"東方花歌暦-2010-","亡き王女の為のセプテット",,,,,1,
Golden City Factory,"東方花歌暦-2010-","明治十七年の上海アリス",,,,,2,
Golden City Factory,"東方花歌暦-2010-","小さな小さな賢将",,,,,3,
Golden City Factory,"東方花歌暦-2010-","夜だから眠れない",,,,,4,
Golden City Factory,"東方花歌暦-2010-","幽雅に咲かせ、墨染めの桜　～ Boder of Life",,,,,5,
Golden City Factory,"東方花歌暦-2010-","黄泉路浪漫　～ mystery tour Sample Take",,,,,6,
Golden City Factory,"東方花歌暦-2010-","星空☆飛行　～ Shooting Memorie Off Vocal Version",,,,,7,
Golden City Factory,"東方花歌暦-2010-","星の器　～ Casked of Start",,,,,8,
Golden City Factory,"東方花歌暦-2010-","芥川龍之介の河童　～ Candid Friend",,,,,9,
Golden City Factory,"東方花歌暦-2010-","Dim.Dream",,,,,10,
