circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
garbanzo,"爆熱地底 地霊伝","爆熱ハート【TV】","",,,,1,
garbanzo,"爆熱地底 地霊伝","提供A","",,,,2,
garbanzo,"爆熱地底 地霊伝","粗筋～毒蜘蛛の強襲～","",,,,3,
garbanzo,"爆熱地底 地霊伝","対決～四天王の豪腕～","",,,,4,
garbanzo,"爆熱地底 地霊伝","休息～地底でのひととき～","",,,,5,
garbanzo,"爆熱地底 地霊伝","悲哀～孤独の緑眼～","",,,,6,
garbanzo,"爆熱地底 地霊伝","アイキャッチA","",,,,7,
garbanzo,"爆熱地底 地霊伝","CM「ネコヤホテルに行こう!」","",,,,8,
garbanzo,"爆熱地底 地霊伝","CM「疾風!風神ロック」","",,,,9,
garbanzo,"爆熱地底 地霊伝","CM「烈風!風神ロック」","",,,,10,
garbanzo,"爆熱地底 地霊伝","アイキャッチB","",,,,11,
garbanzo,"爆熱地底 地霊伝","緊迫～第三の眼～","",,,,12,
garbanzo,"爆熱地底 地霊伝","危機～未知なる炎～","",,,,13,
garbanzo,"爆熱地底 地霊伝","サイクロンジェラシー","",,,,14,
garbanzo,"爆熱地底 地霊伝","少女綺装【TV】","",,,,15,
garbanzo,"爆熱地底 地霊伝","次回予告","",,,,16,
garbanzo,"爆熱地底 地霊伝","提供B","",,,,17,
garbanzo,"爆熱地底 地霊伝","EX.01 爆熱ハート【FULL】","",,,,18,
garbanzo,"爆熱地底 地霊伝","EX.02 少女綺装【FULL】","",,,,19,
garbanzo,"爆熱地底 地霊伝","EX.03 SE.爆熱チェンジ!Purple～紫～","",,,,20,
garbanzo,"爆熱地底 地霊伝","EX.04 SE.爆熱チェンジ!Yellow～萃香～","",,,,21,
garbanzo,"爆熱地底 地霊伝","EX.05 SE.爆熱チェンジ!Black～文～","",,,,22,
