circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Halozy,Cinematic Disc Instrumental,Cinematic Disc Introduction,,すみじゅん,,,1,コミックマーケット82
Halozy,Cinematic Disc Instrumental,With affection(DiGiTAL WiNG TRANCE Version),,katsu:すみじゅん,,恋色マスタースパーク,2,コミックマーケット82
Halozy,Cinematic Disc Instrumental,ウインド・ロウ,,LAN.na:FN2,,人恋し神様　～ Romantic Fall:稲田姫様に叱られるから,3,コミックマーケット82
Halozy,Cinematic Disc Instrumental,無色透明,,crouka,,厄神様の通り道　～ Dark Road,4,コミックマーケット82
Halozy,Cinematic Disc Instrumental,有明は午前4時,,すみじゅん,,広有射怪鳥事　～ Till When?,5,コミックマーケット82
Halozy,Cinematic Disc Instrumental,円環のAccess love,,Irus,,月まで届け、不死の煙,6,コミックマーケット82
Halozy,Cinematic Disc Instrumental,shushine from rainy,,lapix,,万年置き傘にご注意を,7,コミックマーケット82
Halozy,Cinematic Disc Instrumental,BRAND NEW SEDUCTION,,NAGO,,ツェペシュの幼き末裔,8,コミックマーケット82
Halozy,Cinematic Disc Instrumental,幸せ印のマイペース,,しの,,ネイティブフェイス,9,コミックマーケット82
Halozy,Cinematic Disc Instrumental,物凄いコロシアムでアリスが物凄いうた,,すみじゅん,,ブクレシュティの人形師:人形裁判　～ 人の形弄びし少女,10,コミックマーケット82
