circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Halozy,Snow Melody Instrumental,Snow Changes to a Best Again,,すみじゅん,,,1,コミックマーケット83
Halozy,Snow Melody Instrumental,LiveActors,,すみじゅん,,遠野幻想物語:ティアオイエツォン(withered leaf),2,コミックマーケット83
Halozy,Snow Melody Instrumental,Discoteca,,すみじゅん,,明日ハレの日、ケの昨日,3,コミックマーケット83
Halozy,Snow Melody Instrumental,to be emotional～今だけのナイショ話～,,すみじゅん,,デザイアドライブ:古きユアンシェン,4,コミックマーケット83
Halozy,Snow Melody Instrumental,Behind Her Radiance,,NAGO,,佐渡の二ッ岩,5,コミックマーケット83
Halozy,Snow Melody Instrumental,PLAZMA,,crouka,,エネルギー黎明　～ Future Dream...,6,コミックマーケット83
Halozy,Snow Melody Instrumental,現世の四季,,lapix,,死体旅行　～ Be of good cheer!,7,コミックマーケット83
Halozy,Snow Melody Instrumental,恋スル摩天楼,,FN2,,法界の火:感情の摩天楼　～ Cosmic Mind,8,コミックマーケット83
Halozy,Snow Melody Instrumental,物凄いハードボイルドな諏訪子が物凄いうた,,すみじゅん,,ネイティブフェイス,9,コミックマーケット83
Halozy,Snow Melody Instrumental,Ring of Fantasia(DiGiTAL WiNG TRANCE Version),,katsu:すみじゅん,,ネクロファンタジア,10,コミックマーケット83
