circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
IOSYS,ごっすんリミックス アイン,Detroit Marisa City,,埼玉最終兵器,,人形裁判　～ 人の形弄びし少女:Romantic Children,1,博麗神社例大祭5
IOSYS,ごっすんリミックス アイン,ごっすレーサー,,細江慎治,,人形裁判　～ 人の形弄びし少女:Romantic Children,2,博麗神社例大祭5
IOSYS,ごっすんリミックス アイン,誘われて、森の奥、心の奥,,taka,,人形裁判　～ 人の形弄びし少女:Romantic Children,3,博麗神社例大祭5
IOSYS,ごっすんリミックス アイン,キノコの伝説 時々レザマリ,,Yoshi Tsukahara,,人形裁判　～ 人の形弄びし少女:Romantic Children,4,博麗神社例大祭5
IOSYS,ごっすんリミックス アイン,Drive nails into her!,,Technetium,,人形裁判　～ 人の形弄びし少女:Romantic Children,5,博麗神社例大祭5
IOSYS,ごっすんリミックス アイン,スーパービックリキノコタイム,,どぶウサギ,,人形裁判　～ 人の形弄びし少女:Romantic Children,6,博麗神社例大祭5
IOSYS,ごっすんリミックス アイン,Alice Syndrome,,Morrigan,,人形裁判　～ 人の形弄びし少女:Romantic Children,7,博麗神社例大祭5
IOSYS,ごっすんリミックス アイン,Kidding Mushroom&Artificial Marmalade,,tio,,人形裁判　～ 人の形弄びし少女:Romantic Children,8,博麗神社例大祭5
IOSYS,ごっすんリミックス アイン,どきどき人形神判!,,yohine,,人形裁判　～ 人の形弄びし少女:Romantic Children,9,博麗神社例大祭5
IOSYS,ごっすんリミックス アイン,Can you connect to me?,,Ravy,,人形裁判　～ 人の形弄びし少女:Romantic Children,10,博麗神社例大祭5
IOSYS,ごっすんリミックス アイン,ごっすんブリッヂの死闘,,iTOK,,人形裁判　～ 人の形弄びし少女:Romantic Children,11,博麗神社例大祭5
IOSYS,ごっすんリミックス アイン,デイトレーダー一発Mix,,Masayoshi Minoshima,,人形裁判　～ 人の形弄びし少女:Romantic Children,12,博麗神社例大祭5
IOSYS,ごっすんリミックス アイン,究極のツンデレ,,ARM,,人形裁判　～ 人の形弄びし少女:Romantic Children,13,博麗神社例大祭5
