circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
IOSYS,東方云符不普,ロマンチック早苗ラブ,とろ美,ARM,夕野ヨシミ,信仰は儚き人間の為に:少女が見た日本の原風景,1,コミックマーケット79
IOSYS,東方云符不普,無限酒,藤原鞠菜,minami,七条レタス,Demystify Feast,2,コミックマーケット79
IOSYS,東方云符不普,ナズーリンのおいしいクリスマス,藤枝あかね:ARM,ARM,夕野ヨシミ,春の湊に:小さな小さな賢将,3,コミックマーケット79
IOSYS,東方云符不普,横暴ゴーストシップの当て逃げ航海録,山本椛,minami,はかせ,キャプテン・ムラサ:幽霊客船の時空を越えた旅,4,コミックマーケット79
IOSYS,東方云符不普,Dirty Fullmoon,miko,uno,夕野ヨシミ,狂気の瞳　～ Invisible Full Moon:シンデレラケージ　～ Kagome-Kagome,5,コミックマーケット79
IOSYS,東方云符不普,紫雨UNITED 幻想郷BIG3ゴルフ編,あゆ:イザベル:岩杉夏,D.watt,七条レタス,恋色マスタースパーク:ラクトガール　～ 少女密室:人形裁判　～ 人の形弄びし少女,6,コミックマーケット79
IOSYS,東方云符不普,きっともうはたらかない,ゆっくり,ARM,夕野ヨシミ,竹取飛翔　～ Lunatic Princess:ヴォヤージュ1969,7,コミックマーケット79
IOSYS,東方云符不普,BBA88～KANTIGAI AGING～,>>96,uno,kiku:あいさ,幽雅に咲かせ、墨染の桜　～ Border of Life:ネクロファンタジア:千年幻想郷　～ History of the Moon:神さびた古戦場　～ Suwa Foughten Field:感情の摩天楼　～ Cosmic Mind,8,コミックマーケット79
IOSYS,東方云符不普,或る愛のプライスレス,龍波しゅういち,D.watt,七条レタス,Magic Shop of Raspberry:恋色マスタースパーク,9,コミックマーケット79
IOSYS,東方云符不普,続・あたしまりさ,イザベル,minami,ひくら,恋色マスタースパーク,10,コミックマーケット79
IOSYS,東方云符不普,Power of Dream(オールナイトフィーバーRefix),実谷なな,uno,ひくら,人形裁判　～ 人の形弄びし少女:恋色マスタースパーク,11,コミックマーケット79
IOSYS,東方云符不普,STAR RIVER(D.watt alternative),あさな,D.watt,七条レタス,感情の摩天楼　～ Cosmic Mind,12,コミックマーケット79
IOSYS,東方云符不普,Bonus Track,ゆっくり,ARM,夕野ヨシミ,,13,コミックマーケット79
