circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
IOSYS,東方アゲハ DESTINY,ぶっこめ!幽香さん!　～ あの頃のウチはヤバかった,miko,ARM,ARM:夕野ヨシミ,今昔幻想郷　～ Flower Land,1,東方名月祭2
IOSYS,東方アゲハ DESTINY,魔法少女さいせん☆レイム,Shihori,ARM,夕野ヨシミ,少女綺想曲　～ Dream Battle:春色小径　～ Colorful Path,2,東方名月祭2
IOSYS,東方アゲハ DESTINY,カエル相撲ミシャグジ場所での無気力相撲疑惑問題,山本椛:はかせ:岩杉夏,鯛の小骨,夕野ヨシミ,信仰は儚き人間の為に,3,東方名月祭2
IOSYS,東方アゲハ DESTINY,とってもくさるよ!キョンシー娘!,岩杉夏,ARM,夕野ヨシミ,リジッドパラダイス,4,東方名月祭2
IOSYS,東方アゲハ DESTINY,メイドやめますか?人間やめますか?,山本椛,ARM,夕野ヨシミ,月時計　～ ルナ・ダイアル:フラワリングナイト,5,東方名月祭2
IOSYS,東方アゲハ DESTINY,西行寺幽々子のLife Border Station収録前控え室,>>96:くれは,鯛の小骨,夕野ヨシミ,幽雅に咲かせ、墨染の桜　～ Border of Life,6,東方名月祭2
IOSYS,東方アゲハ DESTINY,おしりサナエ虫,ARM:minami,ARM,夕野ヨシミ:ARM,少女が見た日本の原風景:信仰は儚き人間の為に,7,東方名月祭2
IOSYS,東方アゲハ DESTINY,因幡てゐの本当にイラッ☆とするだいたい4分半,とろ美,ARM,ARM:夕野ヨシミ,シンデレラケージ　～ Kagome-Kagome,8,東方名月祭2
IOSYS,東方アゲハ DESTINY,KAPPA JAPAN テレショップ YASUMOTO2号,神波千尋:タニタニ,鯛の小骨,夕野ヨシミ,芥川龍之介の河童　～ Candid Friend,9,東方名月祭2
IOSYS,東方アゲハ DESTINY,黒谷ヤマメのめざせアイドル!大作戦!,MOC,ARM,夕野ヨシミ:ARM,封じられた妖怪　～ Lost Place,10,東方名月祭2
IOSYS,東方アゲハ DESTINY,お洩らしの神様,ランコ,ARM,夕野ヨシミ,ネイティブフェイス,11,東方名月祭2
