circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
IOSYS,Across Phantasm,冥想セザレバ,高井さん,uno,夕野ヨシミ,広有射怪鳥事　～ Till When?,1,博麗神社秋季例大祭
IOSYS,Across Phantasm,シークレットラブ,黒田椋子,コバヤシユウヤ,黒田椋子,ティアオイエツォン(withered leaf),2,博麗神社秋季例大祭
IOSYS,Across Phantasm,Digital Flowerz,,uno,,天空の花の都,3,博麗神社秋季例大祭
IOSYS,Across Phantasm,Phantom Ensemble,,VALLEYSTONE,,幽霊楽団　～ Phantom Ensemble,4,博麗神社秋季例大祭
IOSYS,Across Phantasm,Bassline Doll,,uno,,人形裁判　～ 人の形弄びし少女,5,博麗神社秋季例大祭
IOSYS,Across Phantasm,Stay me killed,Aikapin,D.watt,七条レタス,幽雅に咲かせ、墨染の桜　～ Border of Life,6,博麗神社秋季例大祭
IOSYS,Across Phantasm,Morgue,,uno,,少女幻葬　～ Necro-Fantasy,7,博麗神社秋季例大祭
IOSYS,Across Phantasm,Fantasic sphere,,Yooh,,ネクロファンタジア,8,博麗神社秋季例大祭
IOSYS,Across Phantasm,#FairyJoke #CAMELLIAS_CHAFFANDTWERKANDCORE_REMIX,,uno:かめりあ,,ルーネイトエルフ,9,博麗神社秋季例大祭
IOSYS,Across Phantasm,onedrop,,nora2r,,クリスタライズシルバー,10,博麗神社秋季例大祭
