circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
IRON ATTACK!,FAR EAST JUDGMENT,Sleep awakes,,IRON-CHINO,,花は幻想のままに,1,コミックマーケット76
IRON ATTACK!,FAR EAST JUDGMENT,Far East Judgment,,IRON-CHINO,,六十年目の東方裁判　～ Fate of Sixty Years,2,コミックマーケット76
IRON ATTACK!,FAR EAST JUDGMENT,Black trajectory,,IRON-CHINO,,オリエンタルダークフライト,3,コミックマーケット76
IRON ATTACK!,FAR EAST JUDGMENT,Metal Heart,,IRON-CHINO,,ハートフェルトファンシー,4,コミックマーケット76
IRON ATTACK!,FAR EAST JUDGMENT,Brightly colored vegetables are insufficient,,IRON-CHINO,,ラクトガール　～ 少女密室,5,コミックマーケット76
IRON ATTACK!,FAR EAST JUDGMENT,Ex.Human Operation,,IRON-CHINO,,人形裁判　～ 人の形弄びし少女,6,コミックマーケット76
IRON ATTACK!,FAR EAST JUDGMENT,Into the Madness,,IRON-CHINO,,狂気の瞳　～ Invisible Full Moon,7,コミックマーケット76
IRON ATTACK!,FAR EAST JUDGMENT,Twilight Port Ship,,IRON-CHINO,,春の湊に,8,コミックマーケット76
IRON ATTACK!,FAR EAST JUDGMENT,Sleeps again,,IRON-CHINO,,花は幻想のままに,9,コミックマーケット76
IRON ATTACK!,FAR EAST JUDGMENT,Sparking-Vrrrカラオケ-,,IRON-CHINO,,恋色マスタースパーク,10,コミックマーケット76
IRON ATTACK!,FAR EAST JUDGMENT,Sparking-Grrrカラオケ-,,IRON-CHINO,,恋色マスタースパーク,11,コミックマーケット76
