circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
IRON ATTACK!,SAILING DESTINY～IRON ATTACK! ヴォーカルベスト～,TRUE EVER ROSE,まいなすいょん,IRON-CHINO,まいなすいょん,ネクロファンタジア,1,コミックマーケット82
IRON ATTACK!,SAILING DESTINY～IRON ATTACK! ヴォーカルベスト～,Poltergeist,ロバート・ウォーターマン,IRON-CHINO,IRON,幽霊楽団　～ Phantom Ensemble,2,コミックマーケット82
IRON ATTACK!,SAILING DESTINY～IRON ATTACK! ヴォーカルベスト～,"Le ""DEVIL"" rouge de Ville",まいなすいょん,IRON-CHINO,まいなすいょん,亡き王女の為のセプテット,3,コミックマーケット82
IRON ATTACK!,SAILING DESTINY～IRON ATTACK! ヴォーカルベスト～,～AETERNITAS LUDOLOGY～,まいなすいょん,IRON-CHINO,まいなすいょん,エクステンドアッシュ　～ 蓬莱人,4,コミックマーケット82
IRON ATTACK!,SAILING DESTINY～IRON ATTACK! ヴォーカルベスト～,Shadow and the Sun,The Stahl,IRON-CHINO,IRON,東方妖恋談,5,コミックマーケット82
IRON ATTACK!,SAILING DESTINY～IRON ATTACK! ヴォーカルベスト～,恋せよおてんば夏祭り,まいなすいょん,まいなすいょん,まいなすいょん,おてんば恋娘,6,コミックマーケット82
IRON ATTACK!,SAILING DESTINY～IRON ATTACK! ヴォーカルベスト～,Wanderin' Sorrow,まいなすいょん,IRON-CHINO,IRON,人形裁判　～ 人の形弄びし少女,7,コミックマーケット82
IRON ATTACK!,SAILING DESTINY～IRON ATTACK! ヴォーカルベスト～,Into The Shade,IRON-CHINO,IRON-CHINO,IRON-CHINO,ヴワル魔法図書館,8,コミックマーケット82
IRON ATTACK!,SAILING DESTINY～IRON ATTACK! ヴォーカルベスト～,Sparking 2012,勇舞,IRON-CHINO,JED:まいなすいょん:IRON,恋色マスタースパーク,9,コミックマーケット82
IRON ATTACK!,SAILING DESTINY～IRON ATTACK! ヴォーカルベスト～,Rain in Vain 2012,勇舞,IRON-CHINO,JED:ゆうき:IRON,信仰は儚き人間の為に,10,コミックマーケット82
IRON ATTACK!,SAILING DESTINY～IRON ATTACK! ヴォーカルベスト～,Sparking 2012-Grrrカラオケ-,勇舞,IRON-CHINO,JED:まいなすいょん:IRON,恋色マスタースパーク,11,コミックマーケット82
IRON ATTACK!,SAILING DESTINY～IRON ATTACK! ヴォーカルベスト～,Star Dust-Grrrカラオケ-,勇舞,IRON-CHINO,IRON-CHINO,星の器　～ Casket of Star,12,コミックマーケット82
