circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Innocent Key,東方楼蘭,東方楼蘭～変態天狗と悲劇の乙女達～,Nimo:樹詩音:ココ:梨本悠里,yohine,溝口ゆうま,天狗の手帖　～ Mysterious Note:風の循環　～ Wind Tour:東の国の眠らない夜:風神少女,1,コミックマーケット75
Innocent Key,東方楼蘭,ルナティックレッドアイズ,℃iel,溝口ゆうま,溝口ゆうま,狂気の瞳　～ Invisible Full Moon,2,コミックマーケット75
Innocent Key,東方楼蘭,ツンツン☆オニオニ～ドS萃香とM袋～,miko:陽介神父:溝口ゆうま,ARM,溝口ゆうま,御伽の国の鬼が島　～ Missing Power,3,コミックマーケット75
Innocent Key,東方楼蘭,昆虫は友達ッ!,Nimo,溝口ゆうま,溝口ゆうま,蠢々秋月　～ Mooned Insect,4,コミックマーケット75
Innocent Key,東方楼蘭,幾年創世幻想曲,真野紫,yohine,溝口ゆうま,ネクロファンタジア,5,コミックマーケット75
Innocent Key,東方楼蘭,Take to Lips,℃iel:大瀬良あい:しゃばだばと愉快な仲間たち,しゃばだば,しゃばだば,竹取飛翔　～ Lunatic Princess,6,コミックマーケット75
Innocent Key,東方楼蘭,天・天・天子の天気予報,樹詩音,yohine,溝口ゆうま,有頂天変　～ Wonderful Heaven,7,コミックマーケット75
Innocent Key,東方楼蘭,貴女を護るために,witch,gak,溝口ゆうま,東方妖々夢　～ Ancient Temple,8,コミックマーケット75
Innocent Key,東方楼蘭,桃栗乙女と秋の恋,城戸千絵,柏木るざりん,柏木るざりん,神々が恋した幻想郷,9,コミックマーケット75
Innocent Key,東方楼蘭,ようこそ、浮かばれぬ者達よ～The 3rd eye～,ENKU,yohine,溝口ゆうま,少女さとり　～ 3rd eye,10,コミックマーケット75
Innocent Key,東方楼蘭,こーりん、壮絶!スッパの森,陽介神父:ココ:梨本悠里,溝口ゆうま,溝口ゆうま,少女幻葬　～ Necro-Fantasy:ティアオイエツォン(withered leaf),11,コミックマーケット75
Innocent Key,東方楼蘭,Jewelry Magic,ココ,yohine,溝口ゆうま,ラクトガール　～ 少女密室:ヴワル魔法図書館,12,コミックマーケット75
Innocent Key,東方楼蘭,千年蛙,,鯛の小骨,,明日ハレの日、ケの昨日:ネイティブフェイス,13,コミックマーケット75
Innocent Key,東方楼蘭,東方スイーツ!～鬼畜姉妹と受難メイド～(off Vocal),,yohine,,U.N.オーエンは彼女なのか？:亡き王女の為のセプテット,14,コミックマーケット75
Innocent Key,東方楼蘭,⑨でも糖分はいるよっ(off Vocal),,溝口ゆうま,,おてんば恋娘の冒険,15,コミックマーケット75
Innocent Key,東方楼蘭,GrilledBird(off Vocal),,yohine,,月まで届け、不死の煙:エクステンドアッシュ　～ 蓬莱人,16,コミックマーケット75
