circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Innocent Key,東方聖水祭,東方聖水祭～悩める乙女としーぱっぱ～,miko:大瀬良あい:ココ:梨本悠里:樹詩音,yohine,溝口ゆうま,春風の夢:幽雅に咲かせ、墨染の桜　～ Border of Life:広有射怪鳥事　～ Till When?,1,博麗神社例大祭6
Innocent Key,東方聖水祭,祭りの中の嫉妬心,JUNCA,溝口ゆうま,溝口ゆうま,緑眼のジェラシー,2,博麗神社例大祭6
Innocent Key,東方聖水祭,恋のくじごじ・にゃんすか地獄,miko,D.watt,七条レタス,死体旅行　～ Be of good cheer!,3,博麗神社例大祭6
Innocent Key,東方聖水祭,Wanna Be My Dream,Shihori,ELEMENTAS,ELEMENTAS,少女綺想曲　～ Dream Battle,4,博麗神社例大祭6
Innocent Key,東方聖水祭,鳥ならおまかせ焼き鳥屋,ココ:真野紫,yohine,溝口ゆうま,もう歌しか聞こえない:月まで届け、不死の煙,5,博麗神社例大祭6
Innocent Key,東方聖水祭,信仰と欲望とコマンドーと蛙幼女,℃iel,柏木るざりん,柏木るざりん,神さびた古戦場　～ Suwa Foughten Field,6,博麗神社例大祭6
Innocent Key,東方聖水祭,Alice Syndrome,Nimo,溝口ゆうま,溝口ゆうま,ブクレシュティの人形師,7,博麗神社例大祭6
Innocent Key,東方聖水祭,幻想郷、目撃!ドキュン～弾幕の向こうに～,しゃばだば:しゃばだば愚連隊,gak,gak,二色蓮花蝶　～ Ancients:二色蓮花蝶　～ Red and White,8,博麗神社例大祭6
Innocent Key,東方聖水祭,Maid☆Dailylife,樹詩音,yohine,溝口ゆうま,メイドと血の懐中時計:月時計　～ ルナ・ダイアル,9,博麗神社例大祭6
Innocent Key,東方聖水祭,妖精による水辺のロンド,,九十九百太郎,,芥川龍之介の河童　～ Candid Friend,10,博麗神社例大祭6
Innocent Key,東方聖水祭,東方楼蘭～変態天狗と悲劇の乙女達～(off Vocal),,yohine,,天狗の手帖　～ Mysterious Note:風の循環　～ Wind Tour:東の国の眠らない夜:風神少女,11,博麗神社例大祭6
Innocent Key,東方聖水祭,ルナティックレッドアイズ(off Vocal),,溝口ゆうま,,狂気の瞳　～ Invisible Full Moon,12,博麗神社例大祭6
Innocent Key,東方聖水祭,こーりん、壮絶!スッパの森(off Vocal),,溝口ゆうま,,少女幻葬　～ Necro-Fantasy:ティアオイエツォン(withered leaf),13,博麗神社例大祭6
Innocent Key,東方聖水祭,東方聖水祭～悩める乙女としーぱっぱ～(off Vocal),,yohine,,春風の夢:幽雅に咲かせ、墨染の桜　～ Border of Life:広有射怪鳥事　～ Till When?,14,博麗神社例大祭6
