circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Innocent Key,東方闇鍋,Peace and Quiet Rest,めらみぽっぷ:ココ,yohine:ふくP,ココ,無何有の郷　～ Deep Mountain,1,コミックマーケット81
Innocent Key,東方闇鍋,再醒パラドックス～True Administrator～,Rayna,Succubus,大瀬良あい,聖徳伝説　～ True Administrator,2,コミックマーケット81
Innocent Key,東方闇鍋,Astral Princess,大瀬良あい,溝口ゆうま,溝口ゆうま,Maniacal Princess,3,コミックマーケット81
Innocent Key,東方闇鍋,花映塚歌劇・花組公演「ベルサイユのばか」,めらみぽっぷ:ココ,D.watt:yohine,七条レタス,今昔幻想郷　～ Flower Land:おてんば恋娘の冒険,4,コミックマーケット81
Innocent Key,東方闇鍋,Ancient Princess Sacrifice,大瀬良あい,溝口ゆうま,大瀬良あい,Phantasmagoria,5,コミックマーケット81
Innocent Key,東方闇鍋,Necro Paradise,めらみぽっぷ,溝口ゆうま,溝口ゆうま,リジッドパラダイス,6,コミックマーケット81
Innocent Key,東方闇鍋,Magical Shooting Star!,大瀬良あい:ココ,溝口ゆうま,ココ,恋色マスタースパーク,7,コミックマーケット81
Innocent Key,東方闇鍋,迷い道、迫る闇を見通す能力を,,yohine,,夜雀の歌声　～ Night Bird:もう歌しか聞こえない,8,コミックマーケット81
Innocent Key,東方闇鍋,桜色Party Night,真野紫,デッドボールP,ココ,幽雅に咲かせ、墨染の桜　～ Border of Life,9,コミックマーケット81
Innocent Key,東方闇鍋,Lost the PAST,Rayna,yohine,溝口ゆうま,旧地獄街道を行く,10,コミックマーケット81
Innocent Key,東方闇鍋,The Second Determination,真野紫,SAM,ココ,狂気の瞳　～ Invisible Full Moon,11,コミックマーケット81
Innocent Key,東方闇鍋,流れ星蛍,ランコ,Meis Clauson,大瀬良あい,蠢々秋月　～ Mooned Insect,12,コミックマーケット81
Innocent Key,東方闇鍋,東方アロマテラピー～恐怖!謎の変声ガス!～,Nimo:ココ:大瀬良あい,溝口ゆうま,溝口ゆうま,Dim. Dream:おてんば恋娘,13,コミックマーケット81
Innocent Key,東方闇鍋,akasha-simulator,真野紫:Rayna:梨本悠里:大瀬良あい,溝口ゆうま,MAKI,Strawberry Crisis!!,14,コミックマーケット81
Innocent Key,東方闇鍋,Requiem～世界は終わり、そして始まる～,大瀬良あい,溝口ゆうま,溝口ゆうま,暗闇の風穴,15,コミックマーケット81
