circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
KONTRAST,"KONTRAST 01::double heroine","封印された夢","",,,,1,
KONTRAST,"KONTRAST 01::double heroine","生と死の境界幻想","",,,,2,
KONTRAST,"KONTRAST 01::double heroine","過去へ捧げる哀歌","",,,,3,
KONTRAST,"KONTRAST 01::double heroine","諧謔的な祭唄","",,,,4,
KONTRAST,"KONTRAST 01::double heroine","紅い月夜の舞踏会","",,,,5,
KONTRAST,"KONTRAST 01::double heroine","黄昏時の散歩道","",,,,6,
KONTRAST,"KONTRAST 01::double heroine","弦とピアノの魔法使い","",,,,7,
KONTRAST,"KONTRAST 01::double heroine","Romanian Marionette","",,,,8,
KONTRAST,"KONTRAST 01::double heroine","ラクトチェリスト","",,,,9,
KONTRAST,"KONTRAST 01::double heroine","二十三号の見た世界 2013","",,,,10,
KONTRAST,"KONTRAST 01::double heroine","WiCCAPHOBiA","",,,,11,
KONTRAST,"KONTRAST 01::double heroine","少女帰郷曲　～ Skip Step","",,,,12,
