circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Last Sphere,"東方最ベスト","ヴワル魔法図書館","",,,,1,
Last Sphere,"東方最ベスト","亡き王女の為のセプテット","",,,,2,
Last Sphere,"東方最ベスト","青空の影","",,,,3,
Last Sphere,"東方最ベスト","稲田姫様に叱られるから","",,,,4,
Last Sphere,"東方最ベスト","懐かしき東方の血　～ Old World","",,,,5,
Last Sphere,"東方最ベスト","春の湊に","",,,,6,
Last Sphere,"東方最ベスト","フォールオブフォール　～ 秋めく滝","",,,,7,
Last Sphere,"東方最ベスト","少女さとり","",,,,8,
Last Sphere,"東方最ベスト","Glow of a firefly","",,,,9,
Last Sphere,"東方最ベスト","幻視の夜　～ Ghostly Eyes","",,,,10,
Last Sphere,"東方最ベスト","Explosion girl!","",,,,11,
Last Sphere,"東方最ベスト","上海紅茶館　～ Chinese Tea","",,,,12,
