circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
LiLA'c Records,HAKUREI RAVE 01,HAKUREI RAVE(CLUB Mix),,Irus,,春色小径　～ Colorful Path,1,とら祭り2010
LiLA'c Records,HAKUREI RAVE 01,Lunatic Princess(Seven Light Remix),,Thanatos,,竹取飛翔　～ Lunatic Princess,2,とら祭り2010
LiLA'c Records,HAKUREI RAVE 01,Frenzy Love(Club mix),ココ,Irus,M.I.O,U.N.オーエンは彼女なのか？,3,とら祭り2010
LiLA'c Records,HAKUREI RAVE 01,Night Glow(Club Mix),,Irus,,妖魔夜行,4,とら祭り2010
LiLA'c Records,HAKUREI RAVE 01,Stary Tales(Club Mix),Cryu,Irus,いずみん,春の湊に,5,とら祭り2010
LiLA'c Records,HAKUREI RAVE 01,Donky Flight,,MUZIK SERVANT,,オリエンタルダークフライト,6,とら祭り2010
LiLA'c Records,HAKUREI RAVE 01,Deconstruction Star(LiLA'c Remix),ほたる,Irus,szse,プレインエイジア,7,とら祭り2010
LiLA'c Records,HAKUREI RAVE 01,滅星プロミネンス,リツカ,Irus,いずみん,アリスマエステラ,8,とら祭り2010
LiLA'c Records,HAKUREI RAVE 01,Riverside View(Kingdom Of Heaven Remix),,Thanatos,,彼岸帰航　～ Riverside View,9,とら祭り2010
LiLA'c Records,HAKUREI RAVE 01,Little Vlad,,MUZIK SERVANT,,ツェペシュの幼き末裔,10,とら祭り2010
LiLA'c Records,HAKUREI RAVE 01,3D EYE5,,ReAudia,,少女さとり　～ 3rd eye,11,とら祭り2010
LiLA'c Records,HAKUREI RAVE 01,チルミルチルノ(ReAudia Remix),愛空アキハ,ReAudia,MiYAMO,おてんば恋娘の冒険,12,とら祭り2010
