circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
LiLA'c Records,TOHO SPEED 02,RED 4 SPEED,黒崎朔夜,TOHO SPEED,irus8,亡き王女の為のセプテット,1,コミックマーケット86
LiLA'c Records,TOHO SPEED 02,Take me higher,ココ,Irus,sumijun,少女が見た日本の原風景,2,コミックマーケット86
LiLA'c Records,TOHO SPEED 02,Sunset Luv (TOHO SPEED EDIT),うーちゃん:ill.bell,Irus,海兎:ill.bell,千年幻想郷　～ History of the Moon,3,コミックマーケット86
LiLA'c Records,TOHO SPEED 02,1098S (EDIT Ver),あひる,Irus,海兎,キャプテン・ムラサ,4,コミックマーケット86
LiLA'c Records,TOHO SPEED 02,DEEPS,えみぃ,TOHO SPEED,irus8,秘境のマーメイド,5,コミックマーケット86
LiLA'c Records,TOHO SPEED 02,?,,Irus,,亡失のエモーション,6,コミックマーケット86
LiLA'c Records,TOHO SPEED 02,Fire (TOHO SPEED GT Tuned),,sumijun:Irus,,法界の火:感情の摩天楼　～ Cosmic Mind,7,コミックマーケット86
LiLA'c Records,TOHO SPEED 02,INVARIANT,,Irus,,幻想郷の二ッ岩,8,コミックマーケット86
LiLA'c Records,TOHO SPEED 02,Private Jack,ほたる,cittan*:江口孝宏,海兎,フラワリングナイト,9,コミックマーケット86
LiLA'c Records,TOHO SPEED 02,ether (vocal version),ゆーな,Irus,irus8,感情の摩天楼　～ Cosmic Mind,10,コミックマーケット86
LiLA'c Records,TOHO SPEED 02,Rebirth,,Irus,,月まで届け、不死の煙,11,コミックマーケット86
LiLA'c Records,TOHO SPEED 02,No need for Calculation (Live mix),黒崎朔夜,TOHO SPEED,irus8,魔法少女達の百年祭,12,コミックマーケット86
LiLA'c Records,TOHO SPEED 02,NOSTALGIA,うーちゃん,Irus,Neeshe,アリスマエステラ,13,コミックマーケット86
