circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Light?staff,トビラ,Thank you,KAORI,Ｋ→Ｒ,Ｋ→Ｒ,信仰は儚き人間の為に,1,博麗神社例大祭6
Light?staff,トビラ,Game,小澤裕子,takashi,Ｋ→Ｒ,妖怪の山　～ Mysterious Mountain,2,博麗神社例大祭6
Light?staff,トビラ,シンデレラケージ,小澤裕子,Ｋ→Ｒ,ナオ太,シンデレラケージ　～ Kagome-Kagome,3,博麗神社例大祭6
Light?staff,トビラ,Missing,小澤裕子,Ｋ→Ｒ,K→R:ナオ太,オリジナル,4,博麗神社例大祭6
Light?staff,トビラ,また明日,,takashi,,明日ハレの日、ケの昨日,5,博麗神社例大祭6
Light?staff,トビラ,Trick,,takashi,,ネイティブフェイス,6,博麗神社例大祭6
Light?staff,トビラ,エゴイスト-Remix-,小澤裕子,Ｋ→Ｒ,Ｋ→Ｒ,オリジナル,7,博麗神社例大祭6
Light?staff,トビラ,Knock,,takashi,,神さびた古戦場　～ Suwa Foughten Field,8,博麗神社例大祭6
Light?staff,トビラ,シンデレラケージ-Remix-,小澤裕子,Ｋ→Ｒ,K→R:ナオ太,シンデレラケージ　～ Kagome-Kagome,9,博麗神社例大祭6
Light?staff,トビラ,捲きネジ,,takashi,,封印されし神々,10,博麗神社例大祭6
Light?staff,トビラ,Fallin' in love,涼,Ｋ→Ｒ,K→R:ナオ太,フォールオブフォール　～ 秋めく滝,11,博麗神社例大祭6
Light?staff,トビラ,その手離さないで,小澤裕子,Ｋ→Ｒ,Ｋ→Ｒ,オリジナル,12,博麗神社例大祭6
