circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Lunatic Gate,"Stardust Magic","Cherry Petal","",,,,1,
Lunatic Gate,"Stardust Magic","Phantom Ensemble(Hyuji Remix)","",,,,2,
Lunatic Gate,"Stardust Magic","Mischief Rabbit","",,,,3,
Lunatic Gate,"Stardust Magic","Isolation","",,,,4,
Lunatic Gate,"Stardust Magic","LifeLinkWave","",,,,5,
Lunatic Gate,"Stardust Magic","Mad Drug","",,,,6,
Lunatic Gate,"Stardust Magic","Stardust Magic","",,,,7,
Lunatic Gate,"Stardust Magic","Reincarnation(Vague Recollection Remix)","",,,,8,
Lunatic Gate,"Stardust Magic","’|Žæ”òãÄ-Lunatic Princess-(Ebon Remix)","",,,,9,
Lunatic Gate,"Stardust Magic","Drop Your HeartBeat","",,,,10,
Lunatic Gate,"Stardust Magic","Last Remote(Hated Philosophy Remix)","",,,,11,
