circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
MONOCHROME WORLD,"Cutie Drinkerz DISC-1","おにコア つゅー","",,,,1,
MONOCHROME WORLD,"Cutie Drinkerz DISC-1","Converged Moon","",,,,2,
MONOCHROME WORLD,"Cutie Drinkerz DISC-1","Pretty Little Ogre(SUI-CORE MIX)","",,,,3,
MONOCHROME WORLD,"Cutie Drinkerz DISC-1","1000000 pieces of myself","",,,,4,
MONOCHROME WORLD,"Cutie Drinkerz DISC-1","DISTNATION RAVEING FROM PHANTASIA","",,,,5,
MONOCHROME WORLD,"Cutie Drinkerz DISC-1","可愛い女の子だと思った?残念GABBA飲み萃香ちゃんでした!","",,,,6,
MONOCHROME WORLD,"Cutie Drinkerz DISC-1","The violence of silence","",,,,7,
MONOCHROME WORLD,"Cutie Drinkerz DISC-1","Saigetsu(tribetrigger edit)","",,,,8,
MONOCHROME WORLD,"Cutie Drinkerz DISC-1","dancin' in broken moon","",,,,9,
MONOCHROME WORLD,"Cutie Drinkerz DISC-1","Reach for the sky","",,,,10,
MONOCHROME WORLD,"Cutie Drinkerz DISC-1","すいかじゃんぷ!","",,,,11,
MONOCHROME WORLD,"Cutie Drinkerz DISC-2","Lost in a Reverie","",,,,1,
MONOCHROME WORLD,"Cutie Drinkerz DISC-2","Onaka Suica","",,,,2,
MONOCHROME WORLD,"Cutie Drinkerz DISC-2","Overdrink myself","",,,,3,
MONOCHROME WORLD,"Cutie Drinkerz DISC-2","sparse or dense","",,,,4,
MONOCHROME WORLD,"Cutie Drinkerz DISC-2","ATMOSPHERIC DRINKER","",,,,5,
MONOCHROME WORLD,"Cutie Drinkerz DISC-2","Mirage Mist","",,,,6,
MONOCHROME WORLD,"Cutie Drinkerz DISC-2","OOPARTS","",,,,7,
MONOCHROME WORLD,"Cutie Drinkerz DISC-2","The moon","",,,,8,
MONOCHROME WORLD,"Cutie Drinkerz DISC-2","Let's Party!","",,,,9,
MONOCHROME WORLD,"Cutie Drinkerz DISC-2","萃夢想-progressive shadow ogre remix-","",,,,10,
MONOCHROME WORLD,"Cutie Drinkerz DISC-2","Saigetsu(lime remix)","",,,,11,
