circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
ORANGE★JAM,Memories Ⅱ,re-imagine (FS Remix),Renko,Babbe,Renko,悲しき人形　～ Doll of Misery,1,コミックマーケット91
ORANGE★JAM,Memories Ⅱ,under water (MZC Mix),Renko,"Maurits""禅""Cornelis",Renko,華のさかづき大江山,2,コミックマーケット91
ORANGE★JAM,Memories Ⅱ,A Love Canon (FS Remix),Renko,Babbe,Renko,東方妖々夢　～ Ancient Temple,3,コミックマーケット91
ORANGE★JAM,Memories Ⅱ,reach for the top!! (MK Remix),Renko,MK,Renko,神話幻想　～ Infinite Being,4,コミックマーケット91
ORANGE★JAM,Memories Ⅱ,twilight dreamer (MZC Mix),Renko:Antares Valdemar,"Maurits""禅""Cornelis",Renko,東方緋想天,5,コミックマーケット91
ORANGE★JAM,Memories Ⅱ,re-imagine (FS Remix) (off vocal),,Babbe,,悲しき人形　～ Doll of Misery,6,コミックマーケット91
ORANGE★JAM,Memories Ⅱ,under water (MZC Mix) (off vocal),,"Maurits""禅""Cornelis",,華のさかづき大江山,7,コミックマーケット91
ORANGE★JAM,Memories Ⅱ,A Love Canon (FS Remix) (off vocal),,Babbe,,東方妖々夢　～ Ancient Temple,8,コミックマーケット91
ORANGE★JAM,Memories Ⅱ,reach for the top!! (MK Remix) (off vocal),,MK,,神話幻想　～ Infinite Being,9,コミックマーケット91
ORANGE★JAM,Memories Ⅱ,twilight dreamer (MZC Mix) (off vocal),,"Maurits""禅""Cornelis",,東方緋想天,10,コミックマーケット91
