circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
PARANOIA PARADOX,"RE;FLECTOR","reflector","",,,,1,
PARANOIA PARADOX,"RE;FLECTOR","eViVaDe","",,,,2,
PARANOIA PARADOX,"RE;FLECTOR","Madder Maiden","",,,,3,
PARANOIA PARADOX,"RE;FLECTOR","agapee","",,,,4,
PARANOIA PARADOX,"RE;FLECTOR","pAranoIa","",,,,5,
PARANOIA PARADOX,"RE;FLECTOR","accelerator","",,,,6,
PARANOIA PARADOX,"RE;FLECTOR","Tryst of Sin","",,,,7,
PARANOIA PARADOX,"RE;FLECTOR","óˆê·â‘","",,,,8,
PARANOIA PARADOX,"RE;FLECTOR","reflector(OFF VOCAL)",,,,,9,
PARANOIA PARADOX,"RE;FLECTOR","pAranoIa (OFF VOCAL)",,,,,10,
PARANOIA PARADOX,"RE;FLECTOR","óˆê·â‘(OFF VOCAL)",,,,,11,
