circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
PHOENIX Project,F:Scarlet(Innocence),亡き王女の為のセプテット(Anti-)Ⅲ,,稲井ゆう,,亡き王女の為のセプテット,1,博麗神社例大祭10
PHOENIX Project,F:Scarlet(Innocence),U.N.オーエンは彼女なのか? ver:F,,稲井ゆう,,U.N.オーエンは彼女なのか？,2,博麗神社例大祭10
PHOENIX Project,F:Scarlet(Innocence),幽雅に咲かせ、墨染の桜 - Growth of Cherry,,稲井ゆう,,幽雅に咲かせ、墨染の桜　～ Border of Life,3,博麗神社例大祭10
PHOENIX Project,F:Scarlet(Innocence),神々が恋した幻想郷 - Fantasy you not love,,稲井ゆう,,神々が恋した幻想郷,4,博麗神社例大祭10
PHOENIX Project,F:Scarlet(Innocence),少女さとり - enlightenment:F,,稲井ゆう,,少女さとり　～ 3rd eye,5,博麗神社例大祭10
PHOENIX Project,F:Scarlet(Innocence),霊知の太陽信仰 - solar ray,,稲井ゆう,,霊知の太陽信仰　～ Nuclear Fusion,6,博麗神社例大祭10
PHOENIX Project,F:Scarlet(Innocence),月まで届け、不死の煙 - Beacon to you,,稲井ゆう,,月まで届け、不死の煙,7,博麗神社例大祭10
PHOENIX Project,F:Scarlet(Innocence),デザイアドライブ Desire:R,,稲井ゆう,,デザイアドライブ,8,博麗神社例大祭10
PHOENIX Project,F:Scarlet(Innocence),聖徳伝説 Charisma,,稲井ゆう,,聖徳伝説　～ True Administrator,9,博麗神社例大祭10
PHOENIX Project,F:Scarlet(Innocence),フォールオブフォール - faux pas,,稲井ゆう,,フォールオブフォール　～ 秋めく滝,10,博麗神社例大祭10
PHOENIX Project,F:Scarlet(Innocence),恋色マジック - Magical nostalgia,,稲井ゆう,,恋色マジック,11,博麗神社例大祭10
PHOENIX Project,F:Scarlet(Innocence),古きユアンシェン - Cruel modification,,稲井ゆう,,古きユアンシェン,12,博麗神社例大祭10
PHOENIX Project,F:Scarlet(Innocence),廃獄ララバイ - GOOD NIGHT,,稲井ゆう,,廃獄ララバイ,13,博麗神社例大祭10
PHOENIX Project,F:Scarlet(Innocence),人形裁判 - Judgement≒F,,稲井ゆう,,人形裁判　～ 人の形弄びし少女,14,博麗神社例大祭10
PHOENIX Project,F:Scarlet(Innocence),少女綺想曲 2003-2013=-10,,稲井ゆう,,少女綺想曲　～ Dream Battle,15,博麗神社例大祭10
PHOENIX Project,F:Scarlet(Innocence),佐渡の二ッ岩 - the new heaven,,稲井ゆう,,佐渡の二ッ岩,16,博麗神社例大祭10
PHOENIX Project,F:Scarlet(Innocence),プレインエイジア - regret,,稲井ゆう,,プレインエイジア,17,博麗神社例大祭10
PHOENIX Project,F:Scarlet(Innocence),リジッドパラダイス - Mere festival,,稲井ゆう,,リジッドパラダイス,18,博麗神社例大祭10
PHOENIX Project,F:Scarlet(Innocence),今昔幻想郷 - Layer of illusion,,稲井ゆう,,今昔幻想郷　～ Flower Land,19,博麗神社例大祭10
PHOENIX Project,F:Scarlet(Innocence),"死体旅行 - They are zombies, I'm the LIVING DEAD.",,稲井ゆう,,死体旅行　～ Be of good cheer!,20,博麗神社例大祭10
PHOENIX Project,F:Scarlet(Innocence),大神神話伝 - age of mythology,,稲井ゆう,,大神神話伝,21,博麗神社例大祭10
PHOENIX Project,F:Scarlet(Innocence),Strawberry Crisis!! - Request:1,,稲井ゆう,,Strawberry Crisis!!,22,博麗神社例大祭10
PHOENIX Project,F:Scarlet(Innocence),幽夢 - The transience change to sadness,,稲井ゆう,,幽夢　～ Inanimate Dream,23,博麗神社例大祭10
PHOENIX Project,F:Scarlet(Innocence),エクステンドアッシュ - null,,稲井ゆう,,エクステンドアッシュ　～ 蓬莱人,24,博麗神社例大祭10
PHOENIX Project,F:Scarlet(Innocence),Complete Darkness - Request:F,,稲井ゆう,,Complete Darkness,25,博麗神社例大祭10
