circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
ROUGH TIME,"風切る羽音","Fairy Lyrics","",,,,1,
ROUGH TIME,"風切る羽音","No.9","",,,,2,
ROUGH TIME,"風切る羽音","Angel's feel","",,,,3,
ROUGH TIME,"風切る羽音","雨の想い出","",,,,4,
ROUGH TIME,"風切る羽音","The cage.","",,,,5,
ROUGH TIME,"風切る羽音","495+n","",,,,6,
ROUGH TIME,"風切る羽音","Quiet dream","",,,,7,
ROUGH TIME,"風切る羽音","Fairy Lyrics(カラオケ)","",,,,8,
ROUGH TIME,"風切る羽音","Angel's feel(カラオケ)","",,,,9,
ROUGH TIME,"風切る羽音","雨の想い出(カラオケ)","",,,,10,
ROUGH TIME,"風切る羽音","Quiet dream(カラオケ)","",,,,11,
