circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Ripple Tale,"re:","rain","",,,,1,
Ripple Tale,"re:","異質-T-Style-","",,,,2,
Ripple Tale,"re:","Going on-Keep on Dancing Mix-","",,,,3,
Ripple Tale,"re:","Weeping Cause-Sacrifice-","",,,,4,
Ripple Tale,"re:","夢幻の蒼き空","",,,,5,
Ripple Tale,"re:","プレインエイジア-Galaxy Mix-","",,,,6,
Ripple Tale,"re:","LOVE☆BEAM(Inst)","",,,,7,
Ripple Tale,"re:","LTS[IGH REMIX]","",,,,8,
Ripple Tale,"re:","Confront the head of maid","",,,,9,
Ripple Tale,"re:","LOVE☆BEAM(Unlimited LOVE Mix)","",,,,10,
Ripple Tale,"re:","世界に拒絶されし少女","",,,,11,
Ripple Tale,"re:","時計仕掛けの夢人形-Short Ver.-","",,,,12,
Ripple Tale,"re:","新たな夜明け-L.S. Edit-","",,,,13,
