circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Riverside,東方ぱーぷる,Cradle of Chaos,,すのうまん,,亡き王女の為のセプテット,1,博麗神社例大祭6
Riverside,東方ぱーぷる,桜花爛漫,秣本瑳羅,_yoc.,_yoc.,幽雅に咲かせ、墨染の桜　～ Border of Life,2,博麗神社例大祭6
Riverside,東方ぱーぷる,Ousa'n Bass,,KNHEZiXYTH,,お宇佐さまの素い幡,3,博麗神社例大祭6
Riverside,東方ぱーぷる,をみなへし,,すのうまん,,風神少女,4,博麗神社例大祭6
Riverside,東方ぱーぷる,純桜華,秣本瑳羅,Cororo,Cororo,東方緋想天,5,博麗神社例大祭6
Riverside,東方ぱーぷる,Luna,,_yoc.,,ハルトマンの妖怪少女,6,博麗神社例大祭6
Riverside,東方ぱーぷる,空蝉,,すのうまん,,神さびた古戦場　～ Suwa Foughten Field,7,博麗神社例大祭6
Riverside,東方ぱーぷる,籠姫,,KNHEZiXYTH,,シンデレラケージ　～ Kagome-Kagome,8,博麗神社例大祭6
Riverside,東方ぱーぷる,Crescendo,秣本瑳羅,_yoc.,_yoc.,有頂天変　～ Wonderful Heaven,9,博麗神社例大祭6
Riverside,東方ぱーぷる,桜花爛漫(Instrumental),,_yoc.,,幽雅に咲かせ、墨染の桜　～ Border of Life,10,博麗神社例大祭6
Riverside,東方ぱーぷる,純桜華(Instrumental),,Cororo,,東方緋想天,11,博麗神社例大祭6
Riverside,東方ぱーぷる,Crescendo(Instrumental),,_yoc.,,有頂天変　～ Wonderful Heaven,12,博麗神社例大祭6
