circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Rolling Contact,Awesome Night!!,THUGKARENA,,天音,,六十年目の東方裁判　～ Fate of Sixty Years,1,コミックマーケット74
Rolling Contact,Awesome Night!!,triangle to square,,天音,,千年幻想郷　～ History of the Moon,2,コミックマーケット74
Rolling Contact,Awesome Night!!,DEADLYBLOW,,天音,,ネイティブフェイス,3,コミックマーケット74
Rolling Contact,Awesome Night!!,collapse 1812,,天音,,Dream Express,4,コミックマーケット74
Rolling Contact,Awesome Night!!,Hollowly Relief,,天音,,妖々跋扈　～ Who done it!,5,コミックマーケット74
Rolling Contact,Awesome Night!!,TWEEKER,,天音,,東の国の眠らない夜,6,コミックマーケット74
Rolling Contact,Awesome Night!!,Round-seeker,,天音,,フォルスストロベリー,7,コミックマーケット74
Rolling Contact,Awesome Night!!,ROADDOGGZ,,天音,,砕月,8,コミックマーケット74
Rolling Contact,Awesome Night!!,desolate night,,天音,,the Legend of KAGE,9,コミックマーケット74
Rolling Contact,Awesome Night!!,BOOZEHOUND -original mix-,,天音,,旧地獄街道を行く,10,コミックマーケット74
